Source	First English Translation	Final Refined Translation
"Wahrscheinlich kennen die Schler bereits den Bericht, wie Enos den ganzen Tag und die ganze Nacht lang betet. Sie knnen ihnen helfen, diese Begebenheit noch besser zu verstehen. Wenn die Schler den Bericht lesen und darber sprechen, knnen sie erkennen, auf welche Weise und mit welcher Einstellung sie ihren Gebeten noch mehr Bedeutung geben knnen. Sie verstehen auch besser, wie sich die Segnungen des Shnopfers auf ihr Leben auswirken.
"	Probably the students already know the account of how Enos prays all day and all night long. You can help them understand this story even better. As students read and share the account, they can see how and with what attitude they can give more meaning to their prayers. They also have a better understanding of how the blessings of the sacrifice affect their lives.	It is likely that the students are already acquainted with the account of how Enos prays both day and night. You can assist them in gaining an even deeper understanding of this experience. As they read and discuss the account, they can recognize how and with what attitude they can ascribe greater significance to their prayers. They will also gain a clearer insight into how the blessings from the atonement impact their lives.
"Bei einer Podiumsdiskussion, die er leitete, wies Elder M. Russell Ballard vom Kollegium der Zwlf Apostel darauf hin, dass es sinnvoll sei und man viel lernen knne, wenn man die Anweisungen in den Gemeinderatssitzungen Kapitel fr Kapitel liest und die Grundstze bespricht.
"	In a panel discussion he chaired, Elder M. Russell Ballard of the Quorum of the Twelve Apostles pointed out that there is value and much to learn by reading the instructions in ward council meetings chapter by chapter and discussing the principles.	During a panel discussion he led, Elder M. Russell Ballard of the Quorum of the Twelve Apostles emphasized the value and the wealth of knowledge to be gained from reading the instructions for ward council meetings chapter by chapter and engaging in discussions about the principles.
"Elder Oaks zitiert Gordon B. Hinckley 1910-2008, den 15. Prsidenten der Kirche: Wir knnen hflich anderer Meinung sein, ohne unangenehm zu werden.
"	Elder Oaks quotes Gordon B. Hinckley 1910–2008, the 15th President of the Church: We can disagree without becoming uncomfortable.	Elder Oaks cites Gordon B. Hinckley (1910–2008), the 15th President of the Church: We can politely disagree without becoming uncomfortable.
"Die erwachsenen Jugendfhrer im Pfahl Hongkong forderten das Jugendkomitee auf, selbst ein Dienstprojekt auszusuchen. Nachdem sich die Jugendlichen erkundigt hatten, was vor Ort dringend gebraucht wurde, beschlossen sie, an einer Schule Kurse fr Kinder aus einkommensschwachen Familien durchzufhren. Etwa 125 Jugendliche erklrten mehr als 80 Schulkindern, wie man seine Talente entwickelt, gesundes Essen kocht, in der Familie Zeit freinander findet und gute Freundschaften aufbaut.
"	Adult youth leaders in the Hong Kong Stake invited the Youth Committee to choose its own service project. After the young people had inquired about what was urgently needed locally, they decided to conduct courses for children from low-income families at a school. About 125 young people explained to more than 80 schoolchildren how to develop their talents, cook healthy food, find time for each other in the family and build good friendships.	The adult youth leaders in the Hong Kong Stake encouraged the Youth Committee to select their own service project. After the youth inquired about the most urgent needs in the community, they decided to conduct classes for children from low-income families at a nearby school. Approximately 125 young people taught over 80 schoolchildren how to develop their talents, prepare healthy meals, engage in quality family time, and foster meaningful friendships.
"Eineinhalb Jahrhunderte lang hat das Massaker von Mountain Meadows diejenigen schockiert und bedrckt, die davon erfahren haben. Die Tragdie hat den Angehrigen der Opfer tiefes Leid zugefgt und den Nachkommen der Tter sowie Mitgliedern der Kirche generell das schmerzhafte Gefhl kollektiver Schuld aufgebrdet. Sie hat Kritik an der Kirche ausgelst und schmerzliche und schwierige Fragen aufgeworfen. Wie konnte das geschehen? Wie konnten Mitglieder der Kirche sich an einem solchen Verbrechen beteiligen?
"	For a century and a half, the Mountain Meadows massacre shocked and oppressed those who learned about it. The tragedy inflicted deep suffering on the families of the victims and inflicted a painful sense of collective guilt on the descendants of the Fathers and members of the Church in general. It has sparked criticism of the Church and raised painful and difficult questions. How could this happen? How could members of the Church participate in such a crime?	For one and a half centuries, the Mountain Meadows massacre has shocked and troubled those who learned about it. The tragedy has caused profound suffering for the victims' families, while also imposing a painful sense of collective guilt on the descendants of the perpetrators and the Church's members as a whole. It has triggered criticism of the Church and raised challenging and painful questions: How could this happen? How could Church members participate in such a crime?
"Wir beauftragen Sie, in der Korea-Mission Seoul zu arbeiten.
"	We assign you to work in the Korea Mission Seoul.	We assign you to work in the Korea Mission in Seoul.
"Helfen Sie den Schlern mit der folgenden bersicht, die Grundstze in den Schriftstellen, die sie gelesen haben, zu besprechen und sich zu eigen zu machen:
"	Help students discuss and make their own the principles in the scriptures they have read with the following overview:	Assist the students in discussing and internalizing the principles found in the scriptures they have read, utilizing the following overview:
"Kurs zum Buch Lehre und Bndnisse Seminar
"	Doctrine and Covenants Seminar Course	Course on the Book of Doctrine and Covenants Seminar
"Ein Mann, der schon ber 80 war ein Mitglied der Kirche, das sein Geld mit Fahrradreparaturen verdiente und die Fahrrder der Missionare immer kostenlos reparierte , fuhr eines Abends bei strmendem Regen zur Wohnung der Missionare, um zu fragen, ob die Missionare mitkommen und seiner Frau einen Krankensegen geben wrden.
"	A man who was in his 80s, a member of the Church who made his money repairing bicycles and always repaired the missionaries' bicycles for free, drove to the missionaries' home one evening in the pouring rain to ask if the missionaries would come along and give his wife a blessing to the sick.	An elderly man, over 80 years old and a member of the Church, earned his living by repairing bicycles and consistently repaired the missionaries' bicycles free of charge. One evening, amidst a heavy downpour, he traveled to the missionaries' residence to ask if they would accompany him to provide a blessing for his sick wife.
"Die Internetseite teilt Ihnen mit, dass Ihr Passwort gendert worden ist.
"	The website informs you that your password has been gendered.	The website informs you that your password has been changed.
"Meine Augen haben den Erlser gesehen,
"	My eyes have seen the Redeemer,	My eyes have beheld the Redeemer.
"Wir sollen den Menschen vergeben, die uns verletzen oder beleidigen. Wenn wir ihnen vergeben, wird der himmlische Vater uns vergeben.
"	We are to forgive the people who hurt or insult us. If we forgive them, Heavenly Father will forgive us.	We are called to forgive those who hurt or insult us. When we extend forgiveness to them, our Heavenly Father will also grant us forgiveness.
"Alles Weitere, was Sie uns schreiben mchten
"	Everything else you would like to write to us	Anything else you would like to write to us
"Memo of Suggestions, Seite 1ff., Church Union Board Executive Committee Minutes, Historisches Archiv der Kirche
"	Memo of Suggestions, 1–1, Church Union Board Executive Committee Minutes, Church History Library.	Memo of Suggestions, pages 1 and following, Church Union Board Executive Committee Minutes, Historical Archive of the Church.
"So fgen Sie Notizen hinzu:
"	To add notes:	To add notes:
"Klicken Sie ausgehend von einem Textfenster auf das Men Buch und anschlieend auf WortWrter suchen.
"	From a text window, click on the menu book and then click on Search Word.	Click on the 'Book' menu from a text window and then select 'Search Words.'
"Weitere Einzelheiten geben Sie bitte auf Seite 2 dieses Formulars an.
"	For more details, please refer to page 2 of this form.	For additional details, please provide them on page 2 of this form.
"Das Lied darf fr den gelegentlichen, nichtkommerziellen Gebrauch in Familie und Kirche vervielfltigt werden.
"	The song may be reproduced for occasional, non-commercial use in the family and church.	The song may be reproduced for occasional, non-commercial use in family and church contexts.
"Auf dieser Welt ist nichts so persnlich, so frdernd oder so lebensverndernd wie der Einfluss einer rechtschaffenen Frau.
"	Nothing in this world is as personal, as uplifting or as life-changing as the influence of a righteous woman.	In this world, nothing is as personal, empowering, or life-changing as the influence of a virtuous woman.
"Die Startseite des FamilySearch-Indexierungsprogramms
"	The FamilySearch Indexing Program Home Page	The homepage of the FamilySearch indexing program
"Die Liebe zu Gott und der aufrichtige Wunsch, seine Gebote zu halten, bewegen uns zur Umkehr.
"	Love for God and a sincere desire to keep His commandments move us to repentance.	Our love for God and our genuine desire to uphold His commandments inspire us to repent.
"Das Programm wurde seit Minuten nicht genutzt. Mchten Sie angemeldet bleiben?
"	The program has not been used for minutes. Do you want to stay logged in?	The program has not been used for a few minutes. Would you like to remain logged in?
"Wenn man sich bekehrt hat, freut man sich auf den Sonntag, weil es der Sabbat ist. Am Sonntag denkt man nicht: O nein, heute kann ich nicht mit meinen Freunden abhngen oder ins Kino gehen, sondern man denkt: Ich freue mich, dass ich in die Kirche gehen und mich mit Geistigem befassen kann und dass ich Zeit mit meiner Familie verbringen kann.
"	When you are converted, you look forward to Sunday because it is the Sabbath. On Sunday, you don't think: Oh no, today I can't hang out with my friends or go to the movies, but you think: I'm happy that I can go to church and deal with spiritual things and that I can spend time with my family.	Once you have converted, you look forward to Sunday because it is the Sabbath. On Sundays, you do not think, 'Oh no, today I can’t hang out with my friends or go to the movies.' Instead, you think, 'I am excited to go to church, to engage in spiritual matters, and to spend quality time with my family.'
"Junge Erwachsene auf der ganzen Welt gehorchen diesem Aufruf zum Dienen, aber es erfordert Glauben und Mut, dem Propheten zu folgen.
"	Young adults around the world obey this call to service, but it takes faith and courage to follow the prophet.	Young adults across the globe respond to this call to serve, yet it demands faith and courage to follow the prophet.
"Es kam oft vor, dass ich zu ein, zwei Anzgen, die ein Kunde ausgesucht hatte, eine Auswahl von Hemden und Krawatten zusammenstellte, die ich fr passend hielt. Doch nachdem ich die Hemden und Krawatten vom einen in den anderen Bereich gebracht und neben die Anzge gelegt hatte, war das Ergebnis berraschend: Die Farben nderten sich in dem neuen Licht und passten nun gar nicht zusammen.
"	It often happened that for one or two suits that a customer had chosen, I put together a selection of shirts and ties that I thought would fit. But after I had moved the shirts and ties from one area to the other and placed them next to the suits, the result was surprising: The colors changed in the new light and now did not match at all.	It was common for me to assemble a selection of shirts and ties that I felt were appropriate for one or two suits that a client had chosen. However, once I relocated the shirts and ties to another section and placed them next to the suits, the outcome was surprising: the colors appeared different in the new lighting and no longer coordinated at all.
"Besondere Einladung zur bertragung der CES-Fireside fr Junge Erwachsene im Mai 2009
"	Special Invitation to Broadcast the CES Fireside for Young Adults in May 2009	Special Invitation to the CES Fireside Broadcast for Young Adults in May 2009
"Betont, wie wichtig wohlwollendes Verhalten ist.
"	Emphasizes the importance of benevolent behavior.	Stresses the significance of kind and supportive behavior.
"Prsident Joseph Fielding Smith hat gesagt: Man kann zwar behaupten, dass wir nur eine Handvoll sind im Vergleich zur Weltbevlkerung, man kann uns aber auch mit dem Sauerteig vergleichen, der letztlich die ganze Welt durchdringen sollte und von dem der Heiland gesprochen hatte. Wir knnen und werden zu gegebener Zeit gewiss Einfluss auf die ganze Menschheit nehmen. Man wird wissen, wer wir sind und warum es uns gibt. Es mag hoffnungslos erscheinen, es ist eine monumentale Aufgabe, aber es ist nicht nur mglich, sondern auch gewiss, dass wir den Kampf gegen den Satan gewinnen werden.
"	President Joseph Fielding Smith said: While it can be said that we are only a handful compared to the world, we can also be compared to the leaven that would eventually permeate the whole world and of which the Savior had spoken. We can and will certainly influence all of humanity in due course. People will know who we are and why we exist. It may seem hopeless, it is a monumental task, but it is not only possible, but also certain, that we will win the battle against Satan.	President Joseph Fielding Smith stated: Although it can be claimed that we are merely a handful compared to the world population, we can also be likened to leaven that is destined to eventually permeate the entire world, as the Savior mentioned. In due time, we can and will undoubtedly have an influence on all of humanity. People will come to know who we are and why we exist. It may seem hopeless and it is indeed a monumental task, yet it is not only possible but also certain that we will emerge victorious in our battle against Satan.
"Vom 11. bis 26. November 2011 finden die Tage der offenen Tr statt auer sonntags.
"	From 11 to 26 November 2011 the Open Days will take place except on Sundays.	From November 11 to 26, 2011, the Open Days will be held, except on Sundays.
"Auch Alessia war berzeugt, dass ihre Beziehung zu einem jungen Mann genau das war, was sie sein sollte. Unsere Geschichte war so wunderschn, dass wir meinten, unsere Beziehung wrde nie enden, auch wenn wir die blichen Schwierigkeiten hatten, die jedes Paar erlebt, erzhlt sie.
"	Alessia was also convinced that her relationship with a young man was exactly what it should be. Our story was so beautiful that we thought our relationship would never end, even though we had the usual difficulties that every couple experiences, she says.	Alessia was also convinced that her relationship with a young man was exactly what it was meant to be. Our story was so beautiful that we believed our relationship would never come to an end, despite facing the typical challenges that every couple experiences, she shares.
"Brder und Schwestern, ist Ihnen klar, was wir haben? Erkennen Sie, welche Stelle wir in diesem groen Drama der Menschheitsgeschichte einnehmen?
"	Brothers and sisters, do you realize what we have? Do you see what place we occupy in this great drama of human history?	Brothers and sisters, do you understand what we possess? Are you aware of the role we assume in this grand drama of human history?
"Was haben die Propheten und Apostel darber gesagt?
"	What did the prophets and apostles say about this?	What did the prophets and apostles say about it?
"Sie knnen die heiligen Handlungen des Tempels vollziehen lassen, wenn jemand seit zehn Jahren als tot gilt. Diese Regel gilt zum einen fr im Krieg vermisste, auf See verschollene oder fr tot erklrte Personen sowie zum anderen fr Personen, die unter Umstnden verschwunden sind, bei denen der Tod offensichtlich ist, jedoch keine Leiche gefunden wurde.
"	You can perform temple ordinances if someone has been dead for ten years. This rule applies on the one hand to persons missing in war, missing at sea or declared dead and, on the other hand, to persons who have disappeared under circumstances where death is evident but no body has been found.	Temple ordinances may be performed for individuals who have been considered dead for ten years. This rule applies, firstly, to those who are missing in action during wartime, those lost at sea, or those who have been officially declared deceased; and secondly, to individuals who have vanished under circumstances indicating that death is likely, although their remains have not been found.
"Wenn ein Einreicher Kontaktinformationen hinterlegt hat, knnen Sie diese nutzen, um mit ihm Kontakt aufzunehmen.
"	If a submitter has provided contact information, you can use it to contact them.	If a submitter has provided their contact information, you can use it to get in touch with them.
"Achten Sie darauf, dass eine entspannte Atmosphre herrscht und die Jugendlichen sich miteinander wohl fhlen.
"	Make sure that there is a relaxed atmosphere and that the young people feel comfortable with each other.	Make sure that a relaxed atmosphere prevails so that the young people feel comfortable with one another.
"Dallin H. Oaks bert sich mit Barbara W. Winder zu Themen, die die Frauen in der Kirche betreffen
"	Dallin H. Oaks joins Barbara W. Winder to discuss issues affecting women in the Church	Dallin H. Oaks discusses with Barbara W. Winder issues that concern women in the Church
"Bitten Sie die Schler, in diesen Versen Wrter oder Ausdrcke zu finden, die aussagen, was das geistige Fortkommen der Menschen behindert hat. Schreiben Sie die Antworten an die Tafel. Veranschaulichen Sie ihnen, dass diese Menschen zwar einmal geglaubt hatten, dass ihre schlechten Handlungen aber dazu fhrten, dass sie ihr Zeugnis vergaen und zur Schlechtigkeit zurckkehrten.
"	Invite students to find words or phrases in these verses that teach what has hindered people's spiritual advancement. Write the answers on the board. Illustrate to them that although these people had once believed, their bad actions caused them to forget their testimonies and return to wickedness.	Ask the students to identify words or phrases in these verses that indicate what has hindered the spiritual advancement of humanity. Write their responses on the board. Illustrate to them that these individuals, although they once believed, allowed their wrongdoings to cause them to forget their testimonies and revert to a state of wickedness.
"Folglich hilft uns der im Shnopfer enthaltene Aspekt, dass wir befhigt werden und Kraft bekommen, auf eine Weise zu sehen, zu handeln und gut zu werden, die wir mit unseren begrenzten irdischen Fhigkeiten nie erfassen oder erreichen knnten. Ich bezeuge, dass im Shnopfer des Erlsers wirklich eine Macht steckt, die uns Fhigkeiten verleiht. Ohne diese Macht aus dem Shnopfer, die mir Kraft gibt, knnte ich heute Morgen nicht vor Ihnen stehen.
"	Consequently, the aspect of the sacrifice helps us to become empowered and empowered to see, act, and become good in ways that we could never grasp or achieve with our limited earthly abilities. I testify that there is really a power in the Savior's sacrifice that gives us abilities. Without this power from the sacrifice that gives me strength, I would not be able to stand before you this morning.	Consequently, the aspect of the Atonement empowers us and grants us strength to see, act, and improve in ways we could never comprehend or achieve with our limited earthly abilities. I testify that there is indeed a power in the Atonement provided by the Savior, which bestows upon us capabilities. Without this power from the Atonement that gives me strength, I would not be able to stand before you this morning.
"Geben Sie bitte eine gltige E-Mail-Adresse ein.
"	Please enter a valid email address.	Please enter a valid email address.
"Die Koordinatoren und leitenden Betreuer treffen sich, um die Versammlung fr Organisatorisches zu besprechen.
"	The coordinators and senior supervisors meet to discuss the assembly for organizational matters.	The coordinators and lead supervisors meet to discuss the organizational matters pertaining to the assembly.
"Whrend meiner Kindheit und frhen Jugend wurde ich hin- und hergereicht. Ich erlebte nie, wie es war, eine Familie zu haben, und bekam auch niemals ein Geschenk, nicht einmal zum Geburtstag oder zu Weihnachten.
"	During my childhood and early youth I was passed back and forth. I never experienced what it was like to have a family and never got a gift, not even for my birthday or Christmas.	Throughout my childhood and early youth, I was shuffled between different homes. I never knew what it felt like to have a family, nor did I ever receive a gift—not even for my birthday or Christmas.
"Asenaca hat, obwohl sie erst 19 ist, in ihrem Leben schon viel Kummer erlebt. Dennoch strahlt sie Freude aus. Sie freut sich an der Gewissheit, dass sie zu einer ewigen Familie gehrt, denn ihre Familie wurde 2001 im Suva-Tempel gesiegelt, und sie freut sich an der Gewissheit, dass der himmlische Vater sie kennt und liebt.
"	Asenaca, although she is only 19, has already experienced a lot of grief in her life. Nevertheless, she radiates joy. She rejoices in the assurance that she belongs to an eternal family, for her family was sealed in the Suva Temple in 2001, and she rejoices in the assurance that Heavenly Father knows and loves her.	Although she is only 19 years old, Asenaca has already encountered a significant amount of sorrow in her life. Still, she radiates joy. She derives comfort from the knowledge that she belongs to an eternal family, as her family was sealed in the Suva Temple in 2001. Additionally, she finds assurance in the certainty that Heavenly Father knows and loves her.
"Bei dem Tafelbild, was wir tun mssen, um ewiges Leben zu erlangen, sind unter anderem diese Antworten mglich:
"	In the blackboard picture of what we must do to gain eternal life, the following answers are possible:	In the diagram showing what we must do to attain eternal life, the following answers are possible:
"Wir weisen warnend darauf hin, dass jemand, der die Bndnisse der Keuschheit verletzt, der seinen Ehepartner oder seine Nachkommen misshandelt oder missbraucht oder seinen familiren Verpflichtungen nicht nachkommt, eines Tages vor Gott Rechenschaft ablegen muss. Weiter warnen wir davor, dass der Zerfall der Familie ber die Menschen, Lnder und Vlker das Unheil bringen wird, das in alter und neuer Zeit von den Propheten vorhergesagt worden ist.
"	We warn that those who violate the covenants of chastity, mistreat or abuse their spouse or offspring, or fail to fulfill their family responsibilities will one day be accountable to God. Further, we warn that the disintegration of the family will bring upon people, countries and peoples the calamity foretold by the prophets in ancient and modern times.	We issue a solemn warning that anyone who violates the covenants of chastity, mistreats or abuses their spouse or children, or neglects their familial obligations will one day be held accountable before God. Furthermore, we caution that the breakdown of the family will bring calamity upon individuals, nations, and peoples, as has been foretold by the prophets of both ancient and modern times.
"Wir wollen zumindest einen freundlichen, von christlicher Nchstenliebe geprgten Eindruck hinterlassen.
"	We want to leave at least a friendly impression, characterized by Christian love for others.	We want to leave at least a friendly impression that reflects Christian charity.
"Das System bertrgt die Angaben nun in das Feld Speicherort und Dateiname.
"	The system will now transfer the information to the Storage Location and File Name field.	The system now transfers the information into the 'Storage Location' and 'File Name' fields.
"Teil eines Lehrpaares kann nicht zur gleichen Zeit einen anderen Kurs unterrichten!
"	Part of a teaching couple cannot teach another course at the same time!	A member of a teaching team cannot concurrently instruct another course!
"Aktualisierung des Archivs Kirchenliteratur erschienen
"	Update of the Archive of Church Literature Published	Update of the Archive of Church Literature
