Source	First English Translation	Final Refined Translation
"Die Prsidentschaften der Jungen Mnner und der Jungen Damen
"	The Presidencies of Young Men and Young Women	The Leadership of Young Men and Young Women
"Wir sind nicht hier, um irgendjemanden dazu zu zwingen, den Willen des Vaters im Himmel zu tun. Natrlich hngt das Ma an Freiheit und Verantwortung, das wir unseren Kindern gewhren, von ihrem Alter und ihren Fhigkeiten ab. Wenn wir unseren Kindern helfen, ihre Entscheidungsfreiheit richtig auszuben, wird es leichter sein, sie zu lehren und sie liebzuhaben, ganz unabhngig von ihrem Verhalten.
"	We are not here to force anyone to do the will of the Father in Heaven. Of course, the degree of freedom and responsibility that we give to our children depends on their age and abilities. If we help our children to exercise their freedom of choice correctly, it will be easier to teach them and to love them, regardless of their behavior.	We are not here to coerce anyone into fulfilling the will of the Father in Heaven. Naturally, the level of freedom and responsibility that we grant our children is contingent upon their age and abilities. By assisting our children in effectively exercising their decision-making skills, we will find it easier to educate and love them, irrespective of their conduct.
"Das Buch Mormon ist ein weiterer Zeuge fr Jesus Christus und besttigt die Wahrheiten, die in der Bibel stehen.
"	The Book of Mormon is another witness to Jesus Christ and confirms the truths that are in the Bible.	The Book of Mormon serves as another testament of Jesus Christ and affirms the truths presented in the Bible.
"Als die Heiligen der Letzten Tage aus ihren Husern in Nauvoo im Bundesstaat Illinois vertrieben wurden, fanden viele Freude inmitten des Leids.
"	When the Latter-day Saints were evicted from their homes in Nauvoo, Illinois, many found joy in the midst of suffering.	When the Latter-day Saints were driven from their homes in Nauvoo, Illinois, many found joy amidst their suffering.
"Wenn man mit der Lge lebt, kann man nie vllig frei sein. Nur jemand, der stndig eine solche Last mit sich herumtrgt oder -getragen hat, kann das nachempfinden. Wir drfen nie vergessen: Etwas Falsches wird nicht dadurch richtig, dass viele es tun. Eine falsche Tat wird auch dadurch nicht richtig, weil sie fr niemanden sichtbar wird.
"	If you live with the Lge, you can never be completely free. Only someone who constantly carries or has carried such a burden with him can empathize with this. We must never forget: something wrong does not become right because many people do it. A wrong deed also does not become right because it does not become visible to anyone.	Living with a burden makes true freedom impossible. Only those who continuously carry or have carried such a weight can truly empathize with this feeling. We must never forget: Something wrong doesn’t become right simply because many people do it. An immoral act isn't justified just because it remains unseen by others.
"Im Mrz 1944, der Krieg war inzwischen auf seinem Hhepunkt, wurde das Schiff vor Saipan im Sdpazifik angegriffen. Arthur war einer derjenigen an Bord, die auf See verschollen blieben. Der blaue Stern wurde von seinem Ehrenplatz am vorderen Fenster des Hauses der Familie Patton entfernt. An seine Stelle kam ein goldener Stern, der anzeigte, dass derjenige, fr den der blaue Stern gestanden hatte, im Kampf gefallen war. Ein Licht erlosch im Leben von Mrs. Patton.
"	In March 1944, the war was now at its height, the ship was attacked off Saipan in the South Pacific. Arthur was one of those on board who remained lost at sea. The blue star was removed from its place of honor at the front window of the Patton family home. In its place came a golden star, which indicated that the one for whom the blue star had stood had fallen in battle. A light went out in the life of Mrs. Patton.	In March 1944, with the war at its peak, the ship was attacked off the coast of Saipan in the South Pacific. Arthur was one of those on board who remained missing at sea. The blue star was taken down from its honored place at the front window of the Patton family home. In its stead, a golden star was placed, signifying that the person for whom the blue star represented had been killed in battle. A light extinguished in the life of Mrs. Patton.
"Und ich erblickte auch einen engen und schmalen Pfad, der an der eisernen Stange entlangfhrte, ja, zu dem Baum, bei dem ich stand;
"	And I also saw a narrow and narrow path that led along the iron pole, yes, to the tree by which I was standing;	And I also spotted a narrow and winding path that ran along the iron pole, leading to the tree where I stood.
"Freiwillige helfen auf eigene Gefahr. Jugendliche unter 18 drfen nur teilnehmen, wenn sie von einem Elternteil begleitet werden, oder eine Erlaubnis seitens der Erziehungsberechtigten vorliegt.
"	Volunteers help at their own risk. Young people under the age of 18 are only allowed to participate if they are accompanied by a parent or if there is a permission from their legal guardians.	Volunteers take part at their own risk. Youth under 18 may only participate when accompanied by a parent or with written consent from their legal guardians.
"Die scheinbar bersprungenen Leerfelder sind die Felder, die in dem von Ancestry.com generierten Index nicht bercksichtigt wurden. Die Stze mit solchen bersprungenen Feldern enthalten den letzten Index, der ber Ancestry.com erstellt wurde. Darin kommen die neuen Felder, die jetzt indexiert werden mssen, noch nicht vor. Das Projekt ist dadurch wesentlich aufwndiger geworden, sodass mehr Indexierungsarbeit als bei den vorigen US-Volkszhlungsprojekten, an denen sich FamilySearch beteiligt hat, erforderlich ist.
"	The apparently skipped empty fields are the fields that appear in the Ancestry.com the generated index was not taken into account. The columns with such skipped fields contain the last index, which is Ancestry.com has been created. The new fields that now need to be indexed do not yet appear in this. As a result, the project has become much more up-to-date, so that more indexing work is required than in the previous US folk breeding projects in which FamilySearch has participated.	The seemingly skipped empty fields are those that were not included in the index generated by Ancestry.com. The records with such skipped fields represent the most recent index produced by Ancestry.com. The new fields that now need to be indexed are not yet included in this index. Consequently, the project has become significantly more labor-intensive, requiring greater indexing efforts than in previous US census projects involving FamilySearch.
"East North Temple Street
"	East North Temple Street	East North Temple Street
"Amerikanische Gebrdensprache ASL mit Untertiteln: am dritten Samstag im Monat um 12:00 Uhr
"	American sign language ASL with subtitles: on the third Saturday of the month at 12:00	American Sign Language (ASL) with subtitles: on the third Saturday of every month at 12:00 PM
"Entscheidet sich der Schler dafr, mitzuarbeiten, bt er seine Entscheidungsfreiheit aus, und zwar so, dass der Heilige Geist ihm eine Botschaft bermitteln kann, die auf seine individuellen Bedrfnisse zugeschnitten ist. Wenn die Schler zur Mitarbeit angeregt werden, ist es sehr viel wahrscheinlicher, dass der Heilige Geist noch etwas sehr viel Wichtigeres lehrt als das, was Sie vermitteln knnen.
"	If the student decides to cooperate, he exercises his freedom of choice in such a way that the Holy Spirit can convey a message to him that is tailored to his individual needs. If students are encouraged to cooperate, it is much more likely that the Holy Spirit will teach something much more important than what they can impart.	When a student chooses to participate, he exercises his freedom of choice in such a manner that the Holy Spirit can deliver a message customized to his individual needs. Furthermore, when students are motivated to engage, it is considerably more likely that the Holy Spirit will teach something far more important than what you can provide.
"Glaube als Strkung der Ehe
"	Faith as a strengthening of marriage	Faith as a source of strength in marriage
"Man kann kommerziell abgeflltes Wasser in PET-Behltern kaufen. Nehmen Sie das Mindesthaltbarkeitsdatum der Behlter als Richtwert fr den Verbrauch. Verwenden Sie keine Kunststoffbehlter, die nicht aus PET hergestellt wurden.
"	You can buy commercially bottled water in PET containers. Take the best-before date of the containers as a guideline for consumption. Do not use plastic containers that are not made of PET.	You can purchase commercially bottled water in PET containers. Use the best before date on the bottles as a guideline for consumption. Refrain from using plastic containers that are not made from PET.
"Angaben zu Einzelpersonen und Familien, die bereits im System sind, lschen oder anzweifeln
"	Information about individuals and families who are already in the system, are missing or doubtful	Information regarding individuals and families already in the system, for deletion or disputation.
"Denken Sie daran, dass die Namen, die so schwer zu finden sind, wirkliche Menschen sind, denen Sie Ihr Dasein in dieser Welt verdanken und denen Sie in der Geisterwelt wieder begegnen werden.
"	Remember that the names that are so difficult to find are real people to whom you owe your existence in this world and whom you will meet again in the spirit world.	Remember that the names, which are so hard to find, belong to real individuals, to whom you owe your existence in this world, and whom you will encounter again in the spirit world.
"Wahrscheinlich kennen die Schler bereits den Bericht, wie Enos den ganzen Tag und die ganze Nacht lang betet. Sie knnen ihnen helfen, diese Begebenheit noch besser zu verstehen. Wenn die Schler den Bericht lesen und darber sprechen, knnen sie erkennen, auf welche Weise und mit welcher Einstellung sie ihren Gebeten noch mehr Bedeutung geben knnen. Sie verstehen auch besser, wie sich die Segnungen des Shnopfers auf ihr Leben auswirken.
"	Probably, the students already know the report of how Enos prays all day and all night long. They can help you to understand this event even better. When students read the report and speak about it, they can see how and with what attitude they can give even more meaning to their prayers. They also have a better understanding of how the blessings of the Shnopfer affect their lives.	The students are likely already familiar with the account of how Enos prays all day and all night. They can assist in enhancing their understanding of this event. As the students read and discuss the account, they can discover ways and attitudes to imbue their prayers with greater significance. Moreover, they will gain a deeper understanding of how the blessings from the Shnopfer influence their lives.
"Bei einer Podiumsdiskussion, die er leitete, wies Elder M. Russell Ballard vom Kollegium der Zwlf Apostel darauf hin, dass es sinnvoll sei und man viel lernen knne, wenn man die Anweisungen in den Gemeinderatssitzungen Kapitel fr Kapitel liest und die Grundstze bespricht.
"	During a panel discussion he led, Elder M. Russell Ballard of the Quorum of the Twelve Apostles pointed out that reading the instructions in chapter by chapter and discussing the principles makes sense and can teach a lot.	During a panel discussion that he led, Elder M. Russell Ballard of the Quorum of the Twelve Apostles highlighted that it is beneficial to read the instructions for Ward Council meetings chapter by chapter and to discuss the principles, as this can foster significant learning.
"Elder Oaks zitiert Gordon B. Hinckley 1910-2008, den 15. Prsidenten der Kirche: Wir knnen hflich anderer Meinung sein, ohne unangenehm zu werden.
"	Elder Oaks quotes Gordon B. Hinckley 1910-2008, the 15th President of the Church: We can easily disagree without becoming uncomfortable.	Elder Oaks cites Gordon B. Hinckley (1910-2008), the 15th President of the Church: We can hold differing opinions respectfully without causing discomfort.
"Die erwachsenen Jugendfhrer im Pfahl Hongkong forderten das Jugendkomitee auf, selbst ein Dienstprojekt auszusuchen. Nachdem sich die Jugendlichen erkundigt hatten, was vor Ort dringend gebraucht wurde, beschlossen sie, an einer Schule Kurse fr Kinder aus einkommensschwachen Familien durchzufhren. Etwa 125 Jugendliche erklrten mehr als 80 Schulkindern, wie man seine Talente entwickelt, gesundes Essen kocht, in der Familie Zeit freinander findet und gute Freundschaften aufbaut.
"	The adult youth leaders at the Hong Kong Stake asked the Youth Committee to choose a ministry project for themselves. After the young people had inquired about what was urgently needed on site, they decided to conduct courses for children from low-income families at a school. About 125 young people explained to more than 80 schoolchildren how to develop their talents, cook healthy food, find time for each other in the family and build good friendships.	The adult youth leaders in the Hong Kong Stake encouraged the Youth Committee to independently select a service project. After the youth assessed the urgent needs in the community, they decided to offer courses at a local school for children from low-income families. Approximately 125 young people taught over 80 schoolchildren how to develop their talents, cook nutritious meals, find quality time for one another within their families, and build meaningful friendships.
"Eineinhalb Jahrhunderte lang hat das Massaker von Mountain Meadows diejenigen schockiert und bedrckt, die davon erfahren haben. Die Tragdie hat den Angehrigen der Opfer tiefes Leid zugefgt und den Nachkommen der Tter sowie Mitgliedern der Kirche generell das schmerzhafte Gefhl kollektiver Schuld aufgebrdet. Sie hat Kritik an der Kirche ausgelst und schmerzliche und schwierige Fragen aufgeworfen. Wie konnte das geschehen? Wie konnten Mitglieder der Kirche sich an einem solchen Verbrechen beteiligen?
"	For a century and a half, the Mountain Meadows massacre shocked and distressed those who learned about it. The tragedy has caused deep suffering to the members of the victims and has caused the descendants of the victims and members of the Church in general the painful feeling of collective guilt. She has unleashed criticism on the Church and raised painful and difficult questions. How could this happen? How could members of the Church participate in such a crime?	For a century and a half, the Mountain Meadows massacre has shocked and disturbed all those who have learned about it. This tragedy has inflicted deep suffering on the victims' families and imposed a painful collective sense of guilt upon both the descendants of the perpetrators and the members of the Church as a whole. It has sparked criticism of the Church and raised painful and difficult questions. How could such an atrocity occur? How could Church members be involved in such a crime?
"Wir beauftragen Sie, in der Korea-Mission Seoul zu arbeiten.
"	We assign you to work in the Korea Mission Seoul.	We are commissioning you to work at the Korea Mission in Seoul.
"Helfen Sie den Schlern mit der folgenden bersicht, die Grundstze in den Schriftstellen, die sie gelesen haben, zu besprechen und sich zu eigen zu machen:
"	Help the students to discuss the principles in the Scriptures they have read and to make them their own with the following overview:	Assist the learners with the following overview to discuss and internalize the fundamental principles found in the Scriptures they have read.
"Kurs zum Buch Lehre und Bndnisse Seminar
"	Course on the book Teaching and Learning Seminar	Seminar on the Book 'Teaching and Alliances'
"Ein Mann, der schon ber 80 war ein Mitglied der Kirche, das sein Geld mit Fahrradreparaturen verdiente und die Fahrrder der Missionare immer kostenlos reparierte , fuhr eines Abends bei strmendem Regen zur Wohnung der Missionare, um zu fragen, ob die Missionare mitkommen und seiner Frau einen Krankensegen geben wrden.
"	A man who was already a member of the church in his 80s, who earned his money by repairing bicycles and always repaired the missionaries' bicycles for free , drove one evening to the missionaries' apartment in a pouring rain to ask if the missionaries would come with him and give his wife a blessing for the sick.	A man who was over 80 years old, a member of the church, made his living repairing bicycles and always repaired the missionaries' bicycles for free. One evening, during a torrential rain, he drove to the missionaries' apartment to ask if they would accompany him to provide a blessing for his sick wife.
"Die Internetseite teilt Ihnen mit, dass Ihr Passwort gendert worden ist.
"	The website informs you that your password has been changed.	The website notifies you that your password has been changed.
"Meine Augen haben den Erlser gesehen,
"	My eyes have seen the Erlser,	My eyes have seen the Redeemer.
"Wir sollen den Menschen vergeben, die uns verletzen oder beleidigen. Wenn wir ihnen vergeben, wird der himmlische Vater uns vergeben.
"	We are supposed to forgive those people who hurt or offend us. If we forgive them, Heavenly Father will forgive us.	We are called to forgive those who hurt or offend us. If we forgive them, our Heavenly Father will likewise forgive us.
"Alles Weitere, was Sie uns schreiben mchten
"	Everything else you would like to write to us	Anything else that you would like to write to us?
"Memo of Suggestions, Seite 1ff., Church Union Board Executive Committee Minutes, Historisches Archiv der Kirche
"	Memo of Suggestions, page 1ff., Church Union Board Executive Committee Minutes, Historical Archive of the Church	Memo of Suggestions, pages 1 and onwards, Church Union Board Executive Committee Minutes, Historical Archive of the Church
"So fgen Sie Notizen hinzu:
"	How to add notes:	How to add notes:
"Klicken Sie ausgehend von einem Textfenster auf das Men Buch und anschlieend auf WortWrter suchen.
"	Starting from a text window, click on the Men book and then on Word Search.	From a text window, click on the menu and then select 'Search Words'.
"Weitere Einzelheiten geben Sie bitte auf Seite 2 dieses Formulars an.
"	Please provide further details on page 2 of this form.	Please provide additional details on page 2 of this form.
"Das Lied darf fr den gelegentlichen, nichtkommerziellen Gebrauch in Familie und Kirche vervielfltigt werden.
"	The song may be reproduced for occasional, non-commercial use in family and church.	The song may be reproduced for occasional, non-commercial use within family and church settings.
"Auf dieser Welt ist nichts so persnlich, so frdernd oder so lebensverndernd wie der Einfluss einer rechtschaffenen Frau.
"	There is nothing in this world so personal, so supportive or so life-changing as the influence of a righteous woman.	Nothing in this world is as deeply personal, empowering, or transformative as the impact of a righteous woman.
"Die Startseite des FamilySearch-Indexierungsprogramms
"	The homepage of the FamilySearch indexing program	The homepage of the FamilySearch indexing program
"Die Liebe zu Gott und der aufrichtige Wunsch, seine Gebote zu halten, bewegen uns zur Umkehr.
"	Love for God and a sincere desire to keep His commandments move us to repentance.	Our love for God and our sincere desire to obey His commandments inspire us to repent.
"Das Programm wurde seit Minuten nicht genutzt. Mchten Sie angemeldet bleiben?
"	The program has not been used for minutes. Would you like to stay logged in?	The program has not been used for a few minutes. Would you like to stay logged in?
"Wenn man sich bekehrt hat, freut man sich auf den Sonntag, weil es der Sabbat ist. Am Sonntag denkt man nicht: O nein, heute kann ich nicht mit meinen Freunden abhngen oder ins Kino gehen, sondern man denkt: Ich freue mich, dass ich in die Kirche gehen und mich mit Geistigem befassen kann und dass ich Zeit mit meiner Familie verbringen kann.
"	When you are converted, you look forward to Sunday because it is the Sabbath. On Sunday you don't think: Oh no, today I can't hang out with my friends or go to the cinema, but you think: I am happy that I can go to church and deal with spiritual things and that I can spend time with my family.	When you have embraced your faith, you look forward to Sunday because it is the Sabbath. On Sunday, you don’t think, 'Oh no, I can’t hang out with my friends or go to the movies today,' but rather, 'I am delighted that I can go to church, immerse myself in spiritual matters, and spend time with my family.'
"Junge Erwachsene auf der ganzen Welt gehorchen diesem Aufruf zum Dienen, aber es erfordert Glauben und Mut, dem Propheten zu folgen.
"	Young adults all over the world are obeying this call to serve, but it takes faith and courage to follow the Prophet.	Young adults around the globe are responding to this call to serve, yet it requires both faith and courage to follow the Prophet.
"Es kam oft vor, dass ich zu ein, zwei Anzgen, die ein Kunde ausgesucht hatte, eine Auswahl von Hemden und Krawatten zusammenstellte, die ich fr passend hielt. Doch nachdem ich die Hemden und Krawatten vom einen in den anderen Bereich gebracht und neben die Anzge gelegt hatte, war das Ergebnis berraschend: Die Farben nderten sich in dem neuen Licht und passten nun gar nicht zusammen.
"	It often happened that I put together a selection of shirts and ties for one or two suits that a customer had selected, which I considered appropriate for. But after I had moved the shirts and ties from one area to the other and put them next to the suit, the result was surprising: the colors changed in the new light and now did not match at all.	It was common for me to assemble a selection of shirts and ties to go with one or two suits chosen by a customer, which I thought would be suitable. However, after relocating the shirts and ties from one area to another and placing them next to the suits, the outcome was unexpected: the colors shifted in the altered light and didn’t match at all.
"Besondere Einladung zur bertragung der CES-Fireside fr Junge Erwachsene im Mai 2009
"	Special invitation to the presentation of the CES-Fireside for Young Adults in May 2009	Special invitation to the CES Fireside for Young Adults in May 2009
"Betont, wie wichtig wohlwollendes Verhalten ist.
"	Emphasizes the importance of benevolent behavior.	Emphasizes the significance of benevolent behavior.
"Prsident Joseph Fielding Smith hat gesagt: Man kann zwar behaupten, dass wir nur eine Handvoll sind im Vergleich zur Weltbevlkerung, man kann uns aber auch mit dem Sauerteig vergleichen, der letztlich die ganze Welt durchdringen sollte und von dem der Heiland gesprochen hatte. Wir knnen und werden zu gegebener Zeit gewiss Einfluss auf die ganze Menschheit nehmen. Man wird wissen, wer wir sind und warum es uns gibt. Es mag hoffnungslos erscheinen, es ist eine monumentale Aufgabe, aber es ist nicht nur mglich, sondern auch gewiss, dass wir den Kampf gegen den Satan gewinnen werden.
"	President Joseph Fielding Smith has said: Although it can be said that we are only a handful compared to the world population, we can also be compared to the leaven that was ultimately to permeate the whole world and of which the Savior had spoken. We can and will certainly influence the whole of humanity in due course. People will know who we are and why we exist. It may seem hopeless, it is a monumental task, but it is not only possible, but also certain that we will win the battle against Satan.	President Joseph Fielding Smith has said: While it may be argued that we are merely a handful compared to the world's population, we can also be likened to the leaven that is destined to ultimately permeate the entire world, as the Savior referred to. We are able and will certainly have an impact on all of humanity in due time. People will come to understand who we are and the purpose of our existence. It may seem hopeless and is undeniably a monumental task, but it is not only possible; it is also assured that we will triumph in our struggle against Satan.
"Vom 11. bis 26. November 2011 finden die Tage der offenen Tr statt auer sonntags.
"	From the 11th to the 26th of November 2011 the Open Tr days will take place on Sundays.	The Open Days will take place from November 11 to 26, 2011, except for Sundays.
"Auch Alessia war berzeugt, dass ihre Beziehung zu einem jungen Mann genau das war, was sie sein sollte. Unsere Geschichte war so wunderschn, dass wir meinten, unsere Beziehung wrde nie enden, auch wenn wir die blichen Schwierigkeiten hatten, die jedes Paar erlebt, erzhlt sie.
"	Also, Alessia was convinced that her relationship with a young man was exactly what she was supposed to be. Our story was so beautiful that we thought our relationship would never end, even if we had the usual difficulties that every couple experiences, she tells.	Alessia was also convinced that her relationship with a young man was precisely as it was destined to be. Our story was so wonderfully beautiful that we believed our relationship would never come to an end, even though we faced the typical difficulties that every couple goes through, she reflects.
"Brder und Schwestern, ist Ihnen klar, was wir haben? Erkennen Sie, welche Stelle wir in diesem groen Drama der Menschheitsgeschichte einnehmen?
"	Brothers and sisters, do you realize what we have? Do you realize what place we occupy in this great drama of human history?	Brothers and sisters, do you grasp what we possess? Do you recognize the role we play in this grand drama of human history?
"Was haben die Propheten und Apostel darber gesagt?
"	What did the prophets and apostles say about this?	What have the prophets and apostles said about this?
"Sie knnen die heiligen Handlungen des Tempels vollziehen lassen, wenn jemand seit zehn Jahren als tot gilt. Diese Regel gilt zum einen fr im Krieg vermisste, auf See verschollene oder fr tot erklrte Personen sowie zum anderen fr Personen, die unter Umstnden verschwunden sind, bei denen der Tod offensichtlich ist, jedoch keine Leiche gefunden wurde.
"	You can have the temple ordinances performed if someone has been presumed dead for ten years. This rule applies on the one hand to persons missing in the war, missing at sea or declared dead, and on the other hand to persons who have disappeared under circumstances where death is obvious, but no body has been found.	You may have the sacred ordinances of the temple performed for someone who has been presumed dead for at least ten years. This rule applies not only to individuals missing in war, lost at sea, or officially declared dead, but also to those who have vanished under circumstances that clearly suggest death, yet whose bodies have not been discovered.
"Wenn ein Einreicher Kontaktinformationen hinterlegt hat, knnen Sie diese nutzen, um mit ihm Kontakt aufzunehmen.
"	If a submitter has provided contact information, you can use it to contact him.	If a submitter has provided contact information, you may use it to get in touch with them.
"Achten Sie darauf, dass eine entspannte Atmosphre herrscht und die Jugendlichen sich miteinander wohl fhlen.
"	Make sure that there is a relaxed atmosphere and that the young people feel comfortable with each other.	Make sure there is a relaxed atmosphere and that the young people feel at ease with each other.
"Dallin H. Oaks bert sich mit Barbara W. Winder zu Themen, die die Frauen in der Kirche betreffen
"	Dallin H. Oaks talks with Barbara W. Winder about issues affecting women in the Church	Dallin H. Oaks engages in discussions with Barbara W. Winder on topics concerning women in the Church
"Bitten Sie die Schler, in diesen Versen Wrter oder Ausdrcke zu finden, die aussagen, was das geistige Fortkommen der Menschen behindert hat. Schreiben Sie die Antworten an die Tafel. Veranschaulichen Sie ihnen, dass diese Menschen zwar einmal geglaubt hatten, dass ihre schlechten Handlungen aber dazu fhrten, dass sie ihr Zeugnis vergaen und zur Schlechtigkeit zurckkehrten.
"	Ask students to find words or phrases in these verses that say what has hindered people's spiritual progress. Write the answers on the blackboard. Illustrate to them that although these people had once believed, their bad actions caused them to forget their testimony and return to wickedness.	Ask the students to identify words or phrases in these verses that convey what has obstructed the spiritual advancement of humanity. Record their responses on the board. Make it clear to them that, although these individuals once held beliefs, their wrongful actions led them to forget their testimony and revert to their former wickedness.
"Folglich hilft uns der im Shnopfer enthaltene Aspekt, dass wir befhigt werden und Kraft bekommen, auf eine Weise zu sehen, zu handeln und gut zu werden, die wir mit unseren begrenzten irdischen Fhigkeiten nie erfassen oder erreichen knnten. Ich bezeuge, dass im Shnopfer des Erlsers wirklich eine Macht steckt, die uns Fhigkeiten verleiht. Ohne diese Macht aus dem Shnopfer, die mir Kraft gibt, knnte ich heute Morgen nicht vor Ihnen stehen.
"	Consequently, the aspect contained in the Sacrifice helps us to be empowered and empowered to see, act and become good in ways that we could never grasp or achieve with our limited earthly abilities. I testify that there is really a power in the Savior's sacrifice that gives us abilities. Without this power from the Shnopfer, which gives me strength, I could not stand in front of you this morning.	As a result, the aspect inherent in the Atonement empowers us to perceive, act, and grow in ways that we could never fully grasp or achieve with our limited earthly abilities. I bear witness that there is indeed a power within the Savior's Atonement that grants us capabilities. Without this strength derived from the Atonement, I would not be able to stand before you this morning.
"Geben Sie bitte eine gltige E-Mail-Adresse ein.
"	Please enter a valid e-mail address.	Please enter a valid email address.
"Die Koordinatoren und leitenden Betreuer treffen sich, um die Versammlung fr Organisatorisches zu besprechen.
"	The coordinators and senior supervisors meet to discuss the Assembly for organizational matters.	The coordinators and lead supervisors are meeting to discuss the assembly concerning organizational matters.
"Whrend meiner Kindheit und frhen Jugend wurde ich hin- und hergereicht. Ich erlebte nie, wie es war, eine Familie zu haben, und bekam auch niemals ein Geschenk, nicht einmal zum Geburtstag oder zu Weihnachten.
"	During my childhood and early youth I was passed back and forth. I never experienced what it was like to have a family, and I never got a gift, not even for a birthday or Christmas.	Throughout my childhood and early adolescence, I was constantly shuffled from one place to another. I never had the experience of belonging to a family, and I never received a gift—not even for my birthday or Christmas.
"Asenaca hat, obwohl sie erst 19 ist, in ihrem Leben schon viel Kummer erlebt. Dennoch strahlt sie Freude aus. Sie freut sich an der Gewissheit, dass sie zu einer ewigen Familie gehrt, denn ihre Familie wurde 2001 im Suva-Tempel gesiegelt, und sie freut sich an der Gewissheit, dass der himmlische Vater sie kennt und liebt.
"	Asenaca, although she is only 19, has already experienced a lot of grief in her life. Nevertheless, she radiates joy. She rejoices in the certainty that she belongs to an eternal family, because her family was sealed in the Suva Temple in 2001, and she rejoices in the certainty that the Heavenly Father knows and loves her.	Asenaca, despite being only 19 years old, has already encountered a significant amount of sorrow in her life. Nevertheless, she exudes joy. She finds comfort in the certainty that she belongs to an eternal family, since her family was sealed in the Suva Temple in 2001. Moreover, she takes happiness in the assurance that her Heavenly Father is aware of her and loves her.
"Bei dem Tafelbild, was wir tun mssen, um ewiges Leben zu erlangen, sind unter anderem diese Antworten mglich:
"	In the panel picture of what we have to do to gain eternal life, these answers are possible, among others:	In the panel depicting what we must do to attain eternal life, the following answers might be included:
"Wir weisen warnend darauf hin, dass jemand, der die Bndnisse der Keuschheit verletzt, der seinen Ehepartner oder seine Nachkommen misshandelt oder missbraucht oder seinen familiren Verpflichtungen nicht nachkommt, eines Tages vor Gott Rechenschaft ablegen muss. Weiter warnen wir davor, dass der Zerfall der Familie ber die Menschen, Lnder und Vlker das Unheil bringen wird, das in alter und neuer Zeit von den Propheten vorhergesagt worden ist.
"	We warn that someone who violates the bonds of chastity, who mistreats or abuses his spouse or offspring, or who does not fulfill his family obligations, will one day have to answer to God. Further, we warn that the disintegration of the family over people, countries and peoples will bring the calamity that was predicted by the prophets in ancient and modern times.	We strongly caution that anyone who breaches the bonds of chastity, mistreats or abuses their spouse or children, or fails to fulfill their familial obligations will one day have to answer for their actions before God. Additionally, we warn that the disintegration of family structures across individuals, nations, and communities will bring about the calamity foretold by the prophets in both ancient and contemporary times.
"Wir wollen zumindest einen freundlichen, von christlicher Nchstenliebe geprgten Eindruck hinterlassen.
"	We want to leave at least a friendly impression, influenced by Christian love for others.	We want to leave a friendly impression that is characterized by Christian love for one's neighbor.
"Das System bertrgt die Angaben nun in das Feld Speicherort und Dateiname.
"	The system now transfers the information into the field Location and file name.	The system is now transferring the details into the 'Location' and 'File Name' fields.
