Source	First English Translation	Final Refined Translation
"Entscheidet sich der Schler dafr, mitzuarbeiten, bt er seine Entscheidungsfreiheit aus, und zwar so, dass der Heilige Geist ihm eine Botschaft bermitteln kann, die auf seine individuellen Bedrfnisse zugeschnitten ist. Wenn die Schler zur Mitarbeit angeregt werden, ist es sehr viel wahrscheinlicher, dass der Heilige Geist noch etwas sehr viel Wichtigeres lehrt als das, was Sie vermitteln knnen.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Glaube als Strkung der Ehe
"	Faith as a strand of marriage	Faith as a strengthener of marriage
"Man kann kommerziell abgeflltes Wasser in PET-Behltern kaufen. Nehmen Sie das Mindesthaltbarkeitsdatum der Behlter als Richtwert fr den Verbrauch. Verwenden Sie keine Kunststoffbehlter, die nicht aus PET hergestellt wurden.
"	You can buy commercially flilled water in PET holders. Take the best-before date of the Behlter as a guide for consumption. Do not use plastic products that are not made from PET.	You can purchase commercially bottled water in PET containers. Use the expiration date on the containers as a guideline for consumption. Do not use plastic containers that are not made of PET.
"Angaben zu Einzelpersonen und Familien, die bereits im System sind, lschen oder anzweifeln
"	Details of individuals and families already in the system, or doubt	Delete or dispute the information regarding individuals and families who are already in the system.
"Denken Sie daran, dass die Namen, die so schwer zu finden sind, wirkliche Menschen sind, denen Sie Ihr Dasein in dieser Welt verdanken und denen Sie in der Geisterwelt wieder begegnen werden.
"	Remember that the names that are so hard to find are real people to whom you owe your existence in this world and whom you will meet again in the spirit world.	Remember that the names which are so difficult to find belong to real people, to whom you owe your existence in this world, and whom you will encounter again in the spirit world.
"Wahrscheinlich kennen die Schler bereits den Bericht, wie Enos den ganzen Tag und die ganze Nacht lang betet. Sie knnen ihnen helfen, diese Begebenheit noch besser zu verstehen. Wenn die Schler den Bericht lesen und darber sprechen, knnen sie erkennen, auf welche Weise und mit welcher Einstellung sie ihren Gebeten noch mehr Bedeutung geben knnen. Sie verstehen auch besser, wie sich die Segnungen des Shnopfers auf ihr Leben auswirken.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Bei einer Podiumsdiskussion, die er leitete, wies Elder M. Russell Ballard vom Kollegium der Zwlf Apostel darauf hin, dass es sinnvoll sei und man viel lernen knne, wenn man die Anweisungen in den Gemeinderatssitzungen Kapitel fr Kapitel liest und die Grundstze bespricht.
"	At a panel discussion he led, Elder M. Russell Ballard from the Quorum of the Zwlf Apostles points out that it makes sense and that you learn a lot if you read the instructions in the parish council meetings chapter for chapter and discuss the basics.	During a panel discussion he led, Elder M. Russell Ballard of the Quorum of the Twelve Apostles emphasized that it is beneficial and that much can be learned by reading the instructions for the ward council meetings chapter by chapter and discussing the fundamental principles.
"Elder Oaks zitiert Gordon B. Hinckley 1910-2008, den 15. Prsidenten der Kirche: Wir knnen hflich anderer Meinung sein, ohne unangenehm zu werden.
"	Elder Oaks cites Gordon B. Hinckley 1910-2008, the 15th President of the Church: We don&#39;t disagree without becoming uncomfortable.	Elder Oaks quotes Gordon B. Hinckley (1910-2008), the 15th President of the Church: We can respectfully hold differing opinions without causing discomfort.
"Die erwachsenen Jugendfhrer im Pfahl Hongkong forderten das Jugendkomitee auf, selbst ein Dienstprojekt auszusuchen. Nachdem sich die Jugendlichen erkundigt hatten, was vor Ort dringend gebraucht wurde, beschlossen sie, an einer Schule Kurse fr Kinder aus einkommensschwachen Familien durchzufhren. Etwa 125 Jugendliche erklrten mehr als 80 Schulkindern, wie man seine Talente entwickelt, gesundes Essen kocht, in der Familie Zeit freinander findet und gute Freundschaften aufbaut.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Eineinhalb Jahrhunderte lang hat das Massaker von Mountain Meadows diejenigen schockiert und bedrckt, die davon erfahren haben. Die Tragdie hat den Angehrigen der Opfer tiefes Leid zugefgt und den Nachkommen der Tter sowie Mitgliedern der Kirche generell das schmerzhafte Gefhl kollektiver Schuld aufgebrdet. Sie hat Kritik an der Kirche ausgelst und schmerzliche und schwierige Fragen aufgeworfen. Wie konnte das geschehen? Wie konnten Mitglieder der Kirche sich an einem solchen Verbrechen beteiligen?
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Wir beauftragen Sie, in der Korea-Mission Seoul zu arbeiten.
"	We instruct you to work in the Korea mission Seoul.	We are formally assigning you to work in the Korea mission located in Seoul.
"Helfen Sie den Schlern mit der folgenden bersicht, die Grundstze in den Schriftstellen, die sie gelesen haben, zu besprechen und sich zu eigen zu machen:
"	With the following view, help the students to discuss and make their own in the scriptures they have read:	Assist the students with the following overview to discuss and absorb the principles found in the scriptures they have studied.
"Kurs zum Buch Lehre und Bndnisse Seminar
"	Course on Book Teaching and Bindnisse Seminar	Course on the Book of Doctrine and Covenants Seminar
"Ein Mann, der schon ber 80 war ein Mitglied der Kirche, das sein Geld mit Fahrradreparaturen verdiente und die Fahrrder der Missionare immer kostenlos reparierte , fuhr eines Abends bei strmendem Regen zur Wohnung der Missionare, um zu fragen, ob die Missionare mitkommen und seiner Frau einen Krankensegen geben wrden.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Die Internetseite teilt Ihnen mit, dass Ihr Passwort gendert worden ist.
"	The website informs you that your password has been changed.	The website informs you that your password has been changed.
"Meine Augen haben den Erlser gesehen,
"	My eyes have seen the Erlser,	My eyes have seen the Redeemer.
"Wir sollen den Menschen vergeben, die uns verletzen oder beleidigen. Wenn wir ihnen vergeben, wird der himmlische Vater uns vergeben.
"	We are supposed to forgive the people who hurt or offend us. If we forgive them, the Heavenly Father will forgive us.	We ought to forgive those who hurt or insult us. When we forgive them, our Heavenly Father will also forgive us.
"Alles Weitere, was Sie uns schreiben mchten
"	Everything else you have to write to us	Anything else you would like to write to us.
"Memo of Suggestions, Seite 1ff., Church Union Board Executive Committee Minutes, Historisches Archiv der Kirche
"	Memo of Suggestions, page 1ff., Church Union Board Executive Committee Minutes, Church Historical Archives	Memo of Suggestions, pages 1 and following, Minutes of the Executive Committee of the Church Union Board, Historical Archives of the Church
"So fgen Sie Notizen hinzu:
"	To add notes:	To add notes:
"Klicken Sie ausgehend von einem Textfenster auf das Men Buch und anschlieend auf WortWrter suchen.
"	From a text window, click the Men book and then click Find WortWrter.	Click in the text window on the menu 'Book' and then on 'Search Words'.
"Weitere Einzelheiten geben Sie bitte auf Seite 2 dieses Formulars an.
"	Please provide more details on page 2 of this form.	Please indicate any further details on page 2 of this form.
"Das Lied darf fr den gelegentlichen, nichtkommerziellen Gebrauch in Familie und Kirche vervielfltigt werden.
"	The song may be multiplied for occasional, non-commercial use in the family and church.	The song may be reproduced for occasional, non-commercial use within family and church settings.
"Auf dieser Welt ist nichts so persnlich, so frdernd oder so lebensverndernd wie der Einfluss einer rechtschaffenen Frau.
"	Nothing in this world is as personal, as frenching or as life-altering as the influence of a righteous woman.	In this world, nothing is as deeply personal, empowering, or transformative as the impact of a virtuous woman.
"Die Startseite des FamilySearch-Indexierungsprogramms
"	The homepage of the FamilySearch indexing program	The homepage of the FamilySearch indexing program
"Die Liebe zu Gott und der aufrichtige Wunsch, seine Gebote zu halten, bewegen uns zur Umkehr.
"	The love of God and the sincere desire to keep his commandments move us to repentance.	Our love for God and our genuine desire to keep His commandments inspire us to repent.
"Das Programm wurde seit Minuten nicht genutzt. Mchten Sie angemeldet bleiben?
"	The program has not been used for minutes. Do you want to stay logged in?	The program has not been used for several minutes. Would you like to remain logged in?
"Wenn man sich bekehrt hat, freut man sich auf den Sonntag, weil es der Sabbat ist. Am Sonntag denkt man nicht: O nein, heute kann ich nicht mit meinen Freunden abhngen oder ins Kino gehen, sondern man denkt: Ich freue mich, dass ich in die Kirche gehen und mich mit Geistigem befassen kann und dass ich Zeit mit meiner Familie verbringen kann.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Junge Erwachsene auf der ganzen Welt gehorchen diesem Aufruf zum Dienen, aber es erfordert Glauben und Mut, dem Propheten zu folgen.
"	Young adults around the world obey this call to service, but it takes faith and courage to follow the prophet.	Young adults worldwide respond to this call to serve, but it requires both faith and courage to follow the prophet.
"Es kam oft vor, dass ich zu ein, zwei Anzgen, die ein Kunde ausgesucht hatte, eine Auswahl von Hemden und Krawatten zusammenstellte, die ich fr passend hielt. Doch nachdem ich die Hemden und Krawatten vom einen in den anderen Bereich gebracht und neben die Anzge gelegt hatte, war das Ergebnis berraschend: Die Farben nderten sich in dem neuen Licht und passten nun gar nicht zusammen.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Besondere Einladung zur bertragung der CES-Fireside fr Junge Erwachsene im Mai 2009
"	Special invitation to the CES-Fireside for young adults in May 2009	Special invitation to the CES Fireside event for Young Adults taking place in May 2009
"Betont, wie wichtig wohlwollendes Verhalten ist.
"	Stresses the importance of benevolent behavior.	Emphasizes how important it is to display benevolent behavior.
"Prsident Joseph Fielding Smith hat gesagt: Man kann zwar behaupten, dass wir nur eine Handvoll sind im Vergleich zur Weltbevlkerung, man kann uns aber auch mit dem Sauerteig vergleichen, der letztlich die ganze Welt durchdringen sollte und von dem der Heiland gesprochen hatte. Wir knnen und werden zu gegebener Zeit gewiss Einfluss auf die ganze Menschheit nehmen. Man wird wissen, wer wir sind und warum es uns gibt. Es mag hoffnungslos erscheinen, es ist eine monumentale Aufgabe, aber es ist nicht nur mglich, sondern auch gewiss, dass wir den Kampf gegen den Satan gewinnen werden.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Vom 11. bis 26. November 2011 finden die Tage der offenen Tr statt auer sonntags.
"	From 11. To 26. November 2011 the days of the open Trestattauer take place on Sundays.	From November 11 to November 26, 2011, the Days of Open Doors will take place, excluding Sundays.
"Auch Alessia war berzeugt, dass ihre Beziehung zu einem jungen Mann genau das war, was sie sein sollte. Unsere Geschichte war so wunderschn, dass wir meinten, unsere Beziehung wrde nie enden, auch wenn wir die blichen Schwierigkeiten hatten, die jedes Paar erlebt, erzhlt sie.
"	Alessia, too, was attested that her relationship with a young man was exactly what she was supposed to be. Our story was so wonderful that we thought our relationship would never end, even if we had the real difficulties that each couple experiences, she says.	Alessia was also convinced that her relationship with a young man was exactly how it was meant to be. Our story was so beautiful that we believed our relationship would never end, even though we encountered the usual difficulties that every couple experiences, she recounts.
"Brder und Schwestern, ist Ihnen klar, was wir haben? Erkennen Sie, welche Stelle wir in diesem groen Drama der Menschheitsgeschichte einnehmen?
"	Brder and sisters, do you realize what we have? Do you recognize what position we take in this great drama of human history?	Brothers and sisters, are you aware of what we possess? Do you recognize the role we play in this grand drama of human history?
"Was haben die Propheten und Apostel darber gesagt?
"	What did the prophets and apostles say about it?	What have the prophets and apostles said about this?
"Sie knnen die heiligen Handlungen des Tempels vollziehen lassen, wenn jemand seit zehn Jahren als tot gilt. Diese Regel gilt zum einen fr im Krieg vermisste, auf See verschollene oder fr tot erklrte Personen sowie zum anderen fr Personen, die unter Umstnden verschwunden sind, bei denen der Tod offensichtlich ist, jedoch keine Leiche gefunden wurde.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Wenn ein Einreicher Kontaktinformationen hinterlegt hat, knnen Sie diese nutzen, um mit ihm Kontakt aufzunehmen.
"	If a submitter has provided contact information, use it to contact them.	If a submitter has left contact information, you can use it to reach out to them.
"Achten Sie darauf, dass eine entspannte Atmosphre herrscht und die Jugendlichen sich miteinander wohl fhlen.
"	Make sure that there is a relaxed atmosphere and that the youngsters feel comfortable with each other.	Ensure that a relaxed atmosphere is present and that the young people feel comfortable around each other.
"Dallin H. Oaks bert sich mit Barbara W. Winder zu Themen, die die Frauen in der Kirche betreffen
"	Dallin H. Oaksbert with Barbara W. Winder on issues affecting the women in the church	Dallin H. Oaks participates in a discussion with Barbara W. Winder about issues concerning women in the church.
"Bitten Sie die Schler, in diesen Versen Wrter oder Ausdrcke zu finden, die aussagen, was das geistige Fortkommen der Menschen behindert hat. Schreiben Sie die Antworten an die Tafel. Veranschaulichen Sie ihnen, dass diese Menschen zwar einmal geglaubt hatten, dass ihre schlechten Handlungen aber dazu fhrten, dass sie ihr Zeugnis vergaen und zur Schlechtigkeit zurckkehrten.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Folglich hilft uns der im Shnopfer enthaltene Aspekt, dass wir befhigt werden und Kraft bekommen, auf eine Weise zu sehen, zu handeln und gut zu werden, die wir mit unseren begrenzten irdischen Fhigkeiten nie erfassen oder erreichen knnten. Ich bezeuge, dass im Shnopfer des Erlsers wirklich eine Macht steckt, die uns Fhigkeiten verleiht. Ohne diese Macht aus dem Shnopfer, die mir Kraft gibt, knnte ich heute Morgen nicht vor Ihnen stehen.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Geben Sie bitte eine gltige E-Mail-Adresse ein.
"	Please enter a good email address.	Please enter a valid email address.
"Die Koordinatoren und leitenden Betreuer treffen sich, um die Versammlung fr Organisatorisches zu besprechen.
"	The coordinators and senior supervisors meet to discuss the assembly for organizational matters.	The coordinators and key stakeholders meet to discuss the meeting regarding organizational matters.
"Whrend meiner Kindheit und frhen Jugend wurde ich hin- und hergereicht. Ich erlebte nie, wie es war, eine Familie zu haben, und bekam auch niemals ein Geschenk, nicht einmal zum Geburtstag oder zu Weihnachten.
"	Whending my childhood and early youth, I was passed back and forth. I never experienced what it was like to have a family and never got a present, not even for my birthday or Christmas.	Throughout my childhood and early adolescence, I was shuffled between different caregivers. I never had the chance to experience what it was like to have a family, and I never received a gift—nothing for my birthday or Christmas.
"Asenaca hat, obwohl sie erst 19 ist, in ihrem Leben schon viel Kummer erlebt. Dennoch strahlt sie Freude aus. Sie freut sich an der Gewissheit, dass sie zu einer ewigen Familie gehrt, denn ihre Familie wurde 2001 im Suva-Tempel gesiegelt, und sie freut sich an der Gewissheit, dass der himmlische Vater sie kennt und liebt.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Bei dem Tafelbild, was wir tun mssen, um ewiges Leben zu erlangen, sind unter anderem diese Antworten mglich:
"	In the case of the panel painting, what we do to achieve eternal life, these answers, among other things, are possible:	In the discussion regarding what we must do to attain eternal life, several answers are possible, including the following:
"Wir weisen warnend darauf hin, dass jemand, der die Bndnisse der Keuschheit verletzt, der seinen Ehepartner oder seine Nachkommen misshandelt oder missbraucht oder seinen familiren Verpflichtungen nicht nachkommt, eines Tages vor Gott Rechenschaft ablegen muss. Weiter warnen wir davor, dass der Zerfall der Familie ber die Menschen, Lnder und Vlker das Unheil bringen wird, das in alter und neuer Zeit von den Propheten vorhergesagt worden ist.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Wir wollen zumindest einen freundlichen, von christlicher Nchstenliebe geprgten Eindruck hinterlassen.
"	We want to leave at least a friendly impression of Christian nchstes love.	We strive to leave at least a friendly impression that embodies the spirit of Christian charity.
"Das System bertrgt die Angaben nun in das Feld Speicherort und Dateiname.
"	The system now supports the information in the Location and File Name field.	The system now transfers the data into the fields for Storage Location and Filename.
"Teil eines Lehrpaares kann nicht zur gleichen Zeit einen anderen Kurs unterrichten!
"	Part of an educational couple cannot teach another course at the same time!	A member of a teaching team cannot instruct another course simultaneously!
"Aktualisierung des Archivs Kirchenliteratur erschienen
"	Update of the archive Church literature published	An update on the church literature has been released.
"Das knnte wirklich Spa machen, dachte ich.
"	That really did make spa, I thought.	That could truly be fun, I thought.
"wie historische Dokumente gelesen und indexiert werden.
"	How historical documents are read and indexed.	How historical documents are interpreted and cataloged.
"Wer bin ich, und wer kann ich einmal sein?
"	Who am I and who can I be once?	Who am I, and who might I one day become?
"In den folgenden Gesprchen erzhlten mir die Missionare vom wunderbaren Evangelium der Wiederherstellung. Das Evangelium gab mir Hoffnung und neuen Lebensmut. Ein paar Wochen nachdem die Missionare an meine Tr geklopft hatten, lie ich mich taufen.
"	In the following talks, the missionaries told me of the wonderful gospel of restoration. The Gospel gave me hope and new courage to live. A few weeks after the missionaries knocked on my Tr, I am baptized.	In the following conversations, the missionaries shared with me the wonderful gospel of restoration. This gospel gave me hope and renewed courage for life. A few weeks after the missionaries knocked on my door, I chose to get baptized.
"dass den Weg ich find;
"	That I find the way;	That I find the way.
"Der Herr rettet die Israeliten bei ihrem Auszug vor den gyptern siehe SF, Exodus, Seite 56.
"	The Lord saves the Israelites in their exodus from the Egyptians see SF, Exodus, page 56.	The Lord saves the Israelites during their exodus from Egypt; refer to SF, Exodus, page 56.
"Warum ist Entscheidungsfreiheit wichtig?
"	Why is freedom of choice important?	Why is the freedom to choose important?
"Zustzlich zu Ihrer Aufgabe, Nichtmitgliedern das Evangelium zu verknden, werden Sie in der Washington-Mission Seattle ttig sein.
"	You will be ttig in the Washington mission Seattlettig for your task of nailing the gospel to non-members.	In addition to your responsibility of preaching the gospel to non-members, you will be actively involved in the Seattle Washington Mission.
"Er hat deutlich zu Ihnen gesprochen.
"	He spoke clearly to you.	He spoke clearly to you.
"Antoine de Saint-Exupéry
"	Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
"Urheberrechtlich geschtztes Material darf ohne die Zustimmung des Rechteinhabers nicht versandt werden.
"	Copyright protected material may not be sent without the consent of the rights holder.	Copyrighted material may not be sent without the consent of the rights holder.
"Diese Gefhle weiter zunehmen, und ich mir nicht vorstellen, ohne die Kirche zu leben.
"	These feelings continue to increase, and I do not imagine living without the church.	These feelings continue to grow, and I cannot imagine living without the church.
"In einem solchen Fall ist keine Besttigung durch die Mitglieder erforderlich.
"	In such a case, no consternment by the members is required.	In such a case, no confirmation from the members is required.
"Sie werden sich vorbereiten, das Evangelium auf Franzsisch zu verknden.
"	They will prepare to use the gospel in French.	They will prepare to proclaim the Gospel in French.
"Wie kann ich nach dem Namen eines Vorfahren suchen, der an einem bestimmten Ort gewohnt hat?
"	How can I search for the name of an ancestor who lived in a particular place?	How can I look for the name of an ancestor who resided in a specific location?
"Vorratshaltung in der Familie Broschre
"	Preservation in the Broschre family	Stock Management in the Family Brochure
"0 muss eine gltige Zahl sein.
"	0 must be a glare number.	0 must be a valid number.
"Aber wir waren bereit, sogar begierig, diese Herausforderungen anzunehmen, weil wir wussten, dass man nur dann, wenn Geist und Element untrennbar miteinander verbunden sind, einmal so werden kann wie der himmlische Vater siehe LuB 130:22 und eine Flle der Freude empfangen kann LuB 93:33. . . .
"	But we were ready, even eager, to accept these challenges, because we knew that only when spirit and element are inextricably linked, can one become like the heavenly Father see B 130:22 and receive a Flle of Joy LuB 93:33. . . .	We were prepared, even enthusiastic, to take on these challenges, as we recognized that it is only when spirit and matter are inextricably linked that one can become like the Heavenly Father (see LuB 130:22) and experience a fullness of joy (LuB 93:33).
"Der Herr mchte, dass ihr, meine jungen Freunde, von ganzem Herzen bestrebt seid, nach diesen Mastben und nach der Wahrheit in den heiligen Schriften zu leben. Wenn ihr dies tut, werdet ihr ber den Augenblick hinausschauen, und ihr werdet eine strahlend schne Zukunft vor euch sehen, die groe Chancen und Aufgaben fr euch bereithlt. Ihr werdet bereit seid, euch anzustrengen und lange durchzuhalten, und ihr werdet eine optimistische Lebensauffassung haben.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Ruft die Mama
"	Calls the mom	Mom is calling
"nach Aufzeichnungen suchen, die sie bei sich zu Hause haben
"	Looking for records they have at their home	Searching for records that they have at home.
"Wie damals, als ich in Frankreich angekommen war, suchte ich Trost im Gebet, im Schriftstudium und durch den Heiligen Geist. Dadurch wurde mir viel deutlicher bewusst, welchen Trost uns der Heilige Geist und die Lehre, dass die Familie ewigen Bestand hat, bringen und dass das Shnopfer Jesu Christi sich wirklich auf unser Leben auswirkt, erzhlt sie.
"	Error: 'NoneType' object is not subscriptable	Error: 'NoneType' object is not subscriptable
"Hast du gute Freunde?
"	Do you have good friends?	Do you have good friends?
"sie berzeugen, dass Jesus der Messias ist
"	They testify that Jesus is the Messiah	They convince that Jesus is the Messiah
"Das tat gut, weil wir keine Verwandten in der Nhe haben. Aber unsere Gemeindefamilie war fr uns da, erzhlt Bruder Godfrey, der dabei ein paar Trnen unterdrckt.
"	That was good because we have no relatives in the Nhe. But our community family was there for us, says Brother Godfrey, who underdoes a few tears.	It was comforting, as we have no relatives nearby. Yet, our church family was there to support us, Brother Godfrey shares, while he tries to suppress his tears.
