Source	First English Translation	Final Refined Translation
"O Élder Quentin L. Cook, que falará mais tarde nesta conferência, disse que A liderança da Igreja conclamou a nova geração a liderar o caminho no uso da tecnologia para vivenciar o espírito de Elias, pesquisar seus antepassados e realizar as ordenanças do templo para eles.
"	Elder Quentin L. Cook, who will speak later in this conference, said Church leadership has called on the rising generation to lead the way in using technology to experience the spirit of Elijah, search for their ancestors, and perform temple ordinances for them.	Elder Quentin L. Cook, who will speak later during this conference, mentioned that the leadership of the Church has urged the new generation to take the lead in utilizing technology to embrace the spirit of Elijah, seek out their ancestors, and carry out temple ordinances on their behalf.
"Annie Noble se filiou à Igreja Batista quando se casou.
"	Annie Noble joined the Baptist Church when she got married.	Annie Noble became a member of the Baptist Church upon her marriage.
"Esse recurso aumenta o valor do Catálogo do FamilySearch como auxílio de pesquisa, tornando-se muito mais eficiente passar dos itens do catálogo para os dados digitais online.
"	This feature increases the value of the FamilySearch Catalog as a research aid, making it much more efficient to move from catalog items to online digital data.	This resource enhances the value of the FamilySearch Catalog as a tool for research, significantly improving the efficiency of transitioning from catalog entries to online digital data.
"e mediu mais mil, e me fez passar por águas que me davam pelos lombos.
"	and he measured a thousand more, and brought me through waters that were up to my loins.	and he measured a thousand more, and led me through waters that came up to my waist.
"Defina o endereço de IP estático da impressora.
"	Set the static IP address of the printer.	Set the static IP address of the printer.
"O templo ainda estava longe de ser terminado e, se os santos fugissem da cidade, dificilmente conseguiriam receber sua investidura.
"	The temple was still far from finished, and if the Saints fled the city, they would hardly be able to receive their endowment.	The temple was still far from completion, and if the Saints were to flee the city, they would likely struggle to receive their endowment.
"Precisamos especialmente de ajuda na indexação de registros em espanhol, francês, italiano e português.
"	We especially need help indexing records in Spanish, French, Italian, and Portuguese.	We especially require assistance in indexing records in Spanish, French, Italian, and Portuguese.
"Índice por Número da Seção
"	Index by Section Number	Index by Section Number
"Senhorita Dew?, ela disse com um sotaque encantador.
"	"""Miss Dew,"" she said in a charming accent."	"""Miss Dew?"" she asked, her voice laced with a charming accent."
"Nossas orações devem ser sinceras
"	Our prayers should be sincere	Our prayers must be sincere
"Maneiras Simples de Comemorar o Mês da História da Família: Uma Viagem ao Passado
"	Simple Ways to Celebrate Family History Month: A Trip to the Past	Simple Ways to Celebrate Family History Month: A Journey into the Past
"Naquele dia, lembro-me de estar muito cansado, e não querer fazer nada.
"	That day, I remember being very tired, and not wanting to do anything.	On that day, I recall feeling extremely tired and having no desire to do anything.
"Se você enviou os dados da pessoa num arquivo GEDCOM, acrescente uma data ou local de falecimento.
"	If you submitted the person's information in a GEDCOM file, add a date or place of death.	If you have submitted the person's information in a GEDCOM file, please include a date or place of death.
"As Sociedades de Socorro indicaram pelo menos um auxílio de serviço social por estaca e alguns no âmbito de ala quando necessário.
"	Relief Societies have indicated at least one social service aid per stake and a few at the ward level when needed.	Relief Societies have indicated that each stake provides at least one social service assistance, with additional support available at the ward level when necessary.
"Da mesma forma, ele espera que o aplicativo seja disponibilizado gratuitamente aos milhares de alunos nas salas de aula nos Estados Unidos.
"	Likewise, he hopes that the app will be made available for free to the thousands of students in classrooms in the United States.	Similarly, he anticipates that the application will be provided free of charge to the thousands of students in classrooms throughout the United States.
"Leve seus antepassados com você.
"	Take your ancestors with you.	Take your ancestors with you.
"Alguns dias mais tarde, uma mensagem de Joseph Ball, um missionário que trabalhava nas Ilhas Fox, relatou que os dissidentes de Kirtland haviam enviado cartas para os conversos de Wilford daquele local, tentando lhes influenciar a fé.
"	A few days later, a message from Joseph Ball, a missionary working in the Fox Islands, reported that the dissidents in Kirtland had sent letters to Wilford's converts there, trying to influence their faith.	A few days later, a message from Joseph Ball, a missionary serving in the Fox Islands, reported that the Kirtland dissidents had sent letters to the converts of Wilford in that area, trying to sway their faith.
"Informações da conta nomes de usuário e senhas podem ser encontradas em três locais, como mostrado abaixo:
"	Account information, usernames, and passwords can be found in three locations, as shown below:	Account information, including usernames and passwords, can be found in three different locations, as illustrated below:
"Esta é uma nova pasta vazia.
"	This is a new empty folder.	This is a new, empty folder.
"Para mim foi uma resposta às minhas orações.
"	For me it was an answer to my prayers.	For me, it was an answer to my prayers.
"Sacrificar o Futebol pelo Serviço
"	Sacrificing Football for Service	Sacrificing Football for the Service
"Quero entrar em contato com alguém que esteja trabalhando em minha linhagem de antepassados.
"	I want to get in touch with someone who is working on my ancestor line.	I would like to connect with someone who is researching my ancestral lineage.
"Outras pessoas achavam que, como governador, ele não deveria participar de uma nova religião que poderia dividir o povo.
"	Other people felt that as governor he should not participate in a new religion that might divide the people.	Others believed that, as the governor, he should avoid engaging in a new religion that could potentially divide the populace.
"Um usuário da Árvore Familiar digitou uma data ou local, mas não selecionou um padrão.
"	A Family Tree user entered a date or location, but did not select a pattern.	A user of the Family Tree entered a date or location but did not select a pattern.
"Converse com eles sobre o que eles querem fazer.
"	Talk to them about what they want to do.	Talk to them about what they wish to do.
"Durante a cerimônia, o presidente Wilford Woodruff ativou um interruptor elétrico e uma máquina abaixou o pináculo de granito no local.
"	During the ceremony, President Wilford Woodruff activated an electrical switch and a machine lowered the granite spire at the site.	During the ceremony, President Wilford Woodruff activated an electric switch, and a machine lowered the granite spire into position.
"Élder Quentin L. Cook, abril de 2014
"	Elder Quentin L. Cook, Apr. 2014	Elder Quentin L. Cook, April 2014
"Sim, mas ainda levará um tempo para desenvolver esses recursos.
"	Yes, but it will still take a while to develop these features.	Yes, but it will still take some time to develop these features.
"Cada um recebeu uma pequena lente de aumento e um certificado de conclusão.
"	Each received a small magnifying glass and a certificate of completion.	Each individual received a small magnifying glass along with a certificate of completion.
"Na semana seguinte, enquanto Phelps continuava a pensar sobre o que havia acontecido, uma passagem do Novo Testamento veio a sua mente.
"	The following week, as Phelps continued to think about what had happened, a passage from the New Testament came to his mind.	The following week, while Phelps continued to contemplate what had occurred, a passage from the New Testament came to his mind.
"Conte o número de registros na imagem.
"	Count the number of records in the image.	Count the number of records in the image.
"O texto da oração foi adicionado a Doutrina e Convênios como seção 109, em 1876.
"	The text of the prayer was added to the Doctrine and Covenants as section 109 in 1876.	The text of the prayer was incorporated into the Doctrine and Covenants as Section 109 in 1876.
"A maioria dos casos foi julgada por um tribunal do bispo ou pelo sumo conselho.
"	Most cases were tried by a bishop's tribunal or by the high council.	The majority of cases were adjudicated by either a bishop's court or the supreme council.
"Em muitos casos o software do FamilySearch ajuda nesse processo.
"	In many cases, FamilySearch software helps with this process.	In many instances, the FamilySearch software assists in this process.
"Vou como um cordeiro para o matadouro, disse o profeta, mas estou calmo como uma manhã de verão; tenho a consciência limpa em relação a Deus e em relação a todos os homens. Morrerei inocente.
"	"""I am going like a lamb to the slaughter,"" said the prophet, ""but I am calm as a summer morning; I have a clear conscience in relation to God and in relation to all men. I will die innocent."	"I go like a lamb to the slaughter,"" said the prophet, ""but I am as calm as a summer morning; my conscience is clear before God and before all men. I will die innocent."
"Altere seu perfil de modo a incluir o país em que reside.
"	Change your profile to include the country you live in.	Please update your profile to include the country where you currently reside.
"Peça aos seus pais e avós para falar sobre a vida deles e o que eles se lembram de seus parentes falecidos, e grave suas histórias usando o aplicativo.
"	Ask your parents and grandparents to tell you about their lives and what they remember about their deceased relatives, and record their stories using the app.	Encourage your parents and grandparents to share their life stories and their memories of deceased relatives, and use the app to record their narratives.
"N. Eldon Tanner era primeiro conselheiro na Primeira Presidência na época da desobrigação da irmã Spafford; Tanner e ela foram bons amigos.
"	N. Eldon Tanner was First Counselor in the First Presidency at the time of Sister Spafford's release; Tanner and she were good friends.	N. Eldon Tanner served as the First Counselor in the First Presidency when Sister Spafford was released; he and she shared a strong friendship.
"Entendo que algumas pessoas possam estar com medo de nós, porque elas não nos conhecem.
"	I understand that some people may be afraid of us, because they don't know us.	I understand that some people might be afraid of us because they don't know who we are.
"O usuário não foi encontrado.
"	The user was not found.	The user was not found.
"Acredito que nunca houve uma família mais obediente do que a minha e
"	I believe there has never been a more obedient family than mine and	I believe that there has never been a family more obedient than mine.
"Sinto-me grato por estar aqui com minha esposa, Ruth.
"	I am grateful to be here with my wife, Ruth.	I feel grateful to be here with my wife, Ruth.
"Isso torna o programa mais fácil para aqueles que começarem a usar o programa pela primeira vez.
"	This makes the program easier for those who start using the program for the first time.	This makes the program more user-friendly for those who are using it for the first time.
"Spencer W. Kimball, presidente da Igreja, anuncia que um templo será construído em Tóquio.
"	Spencer W. Kimball, President of the Church, announces that a temple will be built in Tokyo.	Spencer W. Kimball, President of the Church, announces the construction of a temple in Tokyo.
"Em vez de seguir um plano de aula específico, ajude-os com suas necessidades e interesses.
"	Instead of following a specific lesson plan, help them with their needs and interests.	Instead of following a specific lesson plan, help them to address their unique needs and interests.
