Source	First English Translation	Final Refined Translation
"Wenn man mit der Lge lebt, kann man nie vllig frei sein. Nur jemand, der stndig eine solche Last mit sich herumtrgt oder -getragen hat, kann das nachempfinden. Wir drfen nie vergessen: Etwas Falsches wird nicht dadurch richtig, dass viele es tun. Eine falsche Tat wird auch dadurch nicht richtig, weil sie fr niemanden sichtbar wird.
"	If one lives with a lie, one can never be completely free. Only someone who constantly carries such a burden or has carried it can understand that. We must never forget: Something wrong does not become right because many people do it. A wrongful deed does not become right just because it is invisible to anyone.	If someone lives with a lie, they can never be completely free. Only those who continuously carry such a burden, or have done so in the past, can truly understand. We must never forget: An action that is wrong does not become right simply because many engage in it. An immoral act is not made right merely because it is invisible to others.
"Im Mrz 1944, der Krieg war inzwischen auf seinem Hhepunkt, wurde das Schiff vor Saipan im Sdpazifik angegriffen. Arthur war einer derjenigen an Bord, die auf See verschollen blieben. Der blaue Stern wurde von seinem Ehrenplatz am vorderen Fenster des Hauses der Familie Patton entfernt. An seine Stelle kam ein goldener Stern, der anzeigte, dass derjenige, fr den der blaue Stern gestanden hatte, im Kampf gefallen war. Ein Licht erlosch im Leben von Mrs. Patton.
"	In March 1944, the war was now at its peak, the ship was attacked off Saipan in the South Pacific. Arthur was one of those on board who went missing at sea. The blue star was removed from its honored place at the front window of the Patton family home. In its place came a golden star, indicating that the one for whom the blue star had stood had fallen in battle. A light went out in the life of Mrs. Patton.	In March 1944, as the war reached its peak, the ship was attacked off the coast of Saipan in the South Pacific. Arthur was one of those on board who remained missing at sea. The blue star was removed from its honored position at the front window of the Patton family home. In its place, a golden star was hung, signifying that the person for whom the blue star had represented had been killed in action. A light went out in Mrs. Patton's life.
"Und ich erblickte auch einen engen und schmalen Pfad, der an der eisernen Stange entlangfhrte, ja, zu dem Baum, bei dem ich stand;
"	And I also spotted a narrow and slim path that led along the iron pole, indeed, to the tree where I was standing;	I also noticed a narrow, winding path that followed the iron pole, indeed leading to the tree at which I was standing;
"Freiwillige helfen auf eigene Gefahr. Jugendliche unter 18 drfen nur teilnehmen, wenn sie von einem Elternteil begleitet werden, oder eine Erlaubnis seitens der Erziehungsberechtigten vorliegt.
"	Volunteers help at their own risk. Young people under 18 may only participate if they are accompanied by a parent or have permission from their legal guardians.	Volunteers participate at their own risk. Young people under the age of 18 may only participate if they are accompanied by a parent or legal guardian, or if they have secured permission from their guardians.
"Die scheinbar bersprungenen Leerfelder sind die Felder, die in dem von Ancestry.com generierten Index nicht bercksichtigt wurden. Die Stze mit solchen bersprungenen Feldern enthalten den letzten Index, der ber Ancestry.com erstellt wurde. Darin kommen die neuen Felder, die jetzt indexiert werden mssen, noch nicht vor. Das Projekt ist dadurch wesentlich aufwndiger geworden, sodass mehr Indexierungsarbeit als bei den vorigen US-Volkszhlungsprojekten, an denen sich FamilySearch beteiligt hat, erforderlich ist.
"	The seemingly skipped empty fields are the fields that were not considered in the index generated by Ancestry.com. The sentences with such skipped fields contain the last index that was created via Ancestry.com. The new fields that now need to be indexed are not yet included. As a result, the project has become significantly more labor-intensive, requiring more indexing work than previous U.S. census projects in which FamilySearch has participated.	The seemingly omitted empty fields are those that were not included in the index generated by Ancestry.com. The records containing these omitted fields correspond to the latest index created by Ancestry.com. The new fields that now need to be indexed are not yet included in this index. As a result, the project has become significantly more labor-intensive, requiring more indexing efforts than previous U.S. census projects that FamilySearch participated in.
"East North Temple Street
"	East North Temple Street	East North Temple Street
"Amerikanische Gebrdensprache ASL mit Untertiteln: am dritten Samstag im Monat um 12:00 Uhr
"	American Sign Language ASL with subtitles: on the third Saturday of the month at 12:00 PM	American Sign Language (ASL) with subtitles: on the third Saturday of each month at 12:00 PM
"Entscheidet sich der Schler dafr, mitzuarbeiten, bt er seine Entscheidungsfreiheit aus, und zwar so, dass der Heilige Geist ihm eine Botschaft bermitteln kann, die auf seine individuellen Bedrfnisse zugeschnitten ist. Wenn die Schler zur Mitarbeit angeregt werden, ist es sehr viel wahrscheinlicher, dass der Heilige Geist noch etwas sehr viel Wichtigeres lehrt als das, was Sie vermitteln knnen.
"	If the student chooses to collaborate, he is exercising his freedom of choice in such a way that the Holy Spirit can convey a message to him that is tailored to his individual needs. When students are encouraged to participate, it is much more likely that the Holy Spirit teaches something much more important than what you are able to convey.	If the student chooses to participate, he exercises his free will in a manner that enables the Holy Spirit to deliver a message specifically customized to his individual needs. When students are motivated to engage, it significantly increases the likelihood that the Holy Spirit will teach something far more important than what you can convey.
"Glaube als Strkung der Ehe
"	Faith as a Strengthening of Marriage	Faith as a Source of Strength for Marriage
"Man kann kommerziell abgeflltes Wasser in PET-Behltern kaufen. Nehmen Sie das Mindesthaltbarkeitsdatum der Behlter als Richtwert fr den Verbrauch. Verwenden Sie keine Kunststoffbehlter, die nicht aus PET hergestellt wurden.
"	One can buy commercially bottled water in PET containers. Use the expiration date on the containers as a guideline for consumption. Do not use plastic containers that are not made from PET.	You can purchase commercially bottled water in PET containers. Use the best before date on these containers as a guideline for consumption. Avoid using plastic containers that are not made from PET.
"Angaben zu Einzelpersonen und Familien, die bereits im System sind, lschen oder anzweifeln
"	Delete or dispute information about individuals and families that are already in the system	Delete or dispute information concerning individuals and families that are already in the system.
"Denken Sie daran, dass die Namen, die so schwer zu finden sind, wirkliche Menschen sind, denen Sie Ihr Dasein in dieser Welt verdanken und denen Sie in der Geisterwelt wieder begegnen werden.
"	Remember that the names that are so hard to find are real people, to whom you owe your existence in this world and whom you will meet again in the spirit world.	Remember that the names that are hard to find are those of real people to whom you owe your existence in this world and whom you will meet again in the spirit world.
"Wahrscheinlich kennen die Schler bereits den Bericht, wie Enos den ganzen Tag und die ganze Nacht lang betet. Sie knnen ihnen helfen, diese Begebenheit noch besser zu verstehen. Wenn die Schler den Bericht lesen und darber sprechen, knnen sie erkennen, auf welche Weise und mit welcher Einstellung sie ihren Gebeten noch mehr Bedeutung geben knnen. Sie verstehen auch besser, wie sich die Segnungen des Shnopfers auf ihr Leben auswirken.
"	Probably the students are already familiar with the account of how Enos prayed all day and all night. They can help them understand this event even better. When the students read and talk about the account, they can recognize the ways and attitudes in which they can give even more meaning to their prayers. They also gain a better understanding of how the blessings of the Atonement affect their lives.	The students are probably already familiar with the account of how Enos prayed throughout the day and night. They can help each other gain a deeper understanding of this event. As they read and discuss the narrative, they will identify the ways and attitudes in which they can give greater significance to their prayers. They will also gain a better understanding of how the blessings of the Atonement affect their lives.
"Bei einer Podiumsdiskussion, die er leitete, wies Elder M. Russell Ballard vom Kollegium der Zwlf Apostel darauf hin, dass es sinnvoll sei und man viel lernen knne, wenn man die Anweisungen in den Gemeinderatssitzungen Kapitel fr Kapitel liest und die Grundstze bespricht.
"	During a panel discussion that he led, Elder M. Russell Ballard of the Quorum of the Twelve Apostles pointed out that it would be meaningful and that one could learn a lot if the instructions in the council meetings were read chapter by chapter and the principles discussed.	During a panel discussion that he chaired, Elder M. Russell Ballard of the Quorum of the Twelve Apostles pointed out that it is worthwhile and one can learn a great deal by reading the instructions in the council meeting guidelines chapter by chapter and discussing the underlying principles.
"Elder Oaks zitiert Gordon B. Hinckley 1910-2008, den 15. Prsidenten der Kirche: Wir knnen hflich anderer Meinung sein, ohne unangenehm zu werden.
"	Elder Oaks quotes Gordon B. Hinckley 1910-2008, the 15th President of the Church: We can respectfully disagree without being unpleasant.	Elder Oaks quotes Gordon B. Hinckley (1910-2008), the 15th President of the Church: We can maintain a respectful disagreement without becoming disagreeable.
"Die erwachsenen Jugendfhrer im Pfahl Hongkong forderten das Jugendkomitee auf, selbst ein Dienstprojekt auszusuchen. Nachdem sich die Jugendlichen erkundigt hatten, was vor Ort dringend gebraucht wurde, beschlossen sie, an einer Schule Kurse fr Kinder aus einkommensschwachen Familien durchzufhren. Etwa 125 Jugendliche erklrten mehr als 80 Schulkindern, wie man seine Talente entwickelt, gesundes Essen kocht, in der Familie Zeit freinander findet und gute Freundschaften aufbaut.
"	The adult youth leaders in the Hong Kong stake urged the youth committee to choose a service project for themselves. After the young people inquired about what was urgently needed on site, they decided to conduct courses at a school for children from low-income families. About 125 youths taught more than 80 schoolchildren how to develop their talents, cook healthy food, find time for each other in the family, and build good friendships.	The adult youth leaders in the Hong Kong stake urged the youth committee to choose a service project on their own. After assessing the urgent needs in the community, the youth decided to conduct classes at a school for children from low-income families. About 125 young leaders taught over 80 schoolchildren how to develop their talents, prepare healthy meals, find quality family time, and cultivate good friendships.
"Eineinhalb Jahrhunderte lang hat das Massaker von Mountain Meadows diejenigen schockiert und bedrckt, die davon erfahren haben. Die Tragdie hat den Angehrigen der Opfer tiefes Leid zugefgt und den Nachkommen der Tter sowie Mitgliedern der Kirche generell das schmerzhafte Gefhl kollektiver Schuld aufgebrdet. Sie hat Kritik an der Kirche ausgelst und schmerzliche und schwierige Fragen aufgeworfen. Wie konnte das geschehen? Wie konnten Mitglieder der Kirche sich an einem solchen Verbrechen beteiligen?
"	For a century and a half, the Mountain Meadows massacre has shocked and distressed those who learned about it. The tragedy has caused deep suffering to the relatives of the victims and imposed the painful feeling of collective guilt on the descendants of the perpetrators as well as on church members in general. It has sparked criticism of the church and raised painful and difficult questions. How could this happen? How could church members participate in such a crime?	For one and a half centuries, the Mountain Meadows massacre has shocked and deeply unsettled those who have learned of it. The tragedy has caused immense grief for the victims' families and imposed a painful sense of collective guilt on the descendants of the perpetrators, as well as on church members more broadly. It has sparked criticism of the church and raised painful, challenging questions: How could this happen? How could church members participate in such a horrific crime?
"Wir beauftragen Sie, in der Korea-Mission Seoul zu arbeiten.
"	We commission you to work in the Korea mission in Seoul.	We are commissioning you to work in the Korea Mission in Seoul.
"Helfen Sie den Schlern mit der folgenden bersicht, die Grundstze in den Schriftstellen, die sie gelesen haben, zu besprechen und sich zu eigen zu machen:
"	Help the students with the following overview to discuss and internalize the principles in the scriptures they have read:	Help the students with the following overview to discuss and internalize the principles contained in the scriptures they have read:
"Kurs zum Buch Lehre und Bndnisse Seminar
"	Course on the book Teaching and Bonds Seminar	Seminar on the book 'Doctrine and Covenants'
"Ein Mann, der schon ber 80 war ein Mitglied der Kirche, das sein Geld mit Fahrradreparaturen verdiente und die Fahrrder der Missionare immer kostenlos reparierte , fuhr eines Abends bei strmendem Regen zur Wohnung der Missionare, um zu fragen, ob die Missionare mitkommen und seiner Frau einen Krankensegen geben wrden.
"	A man who was already over 80 and a member of the church, who earned his money with bicycle repairs and always repaired the missionaries' bicycles for free, rode one evening in pouring rain to the missionaries' apartment to ask if the missionaries would come and give his wife a blessing for the sick.	An 80-year-old man, who had been a member of the church, earned his living by repairing bicycles and consistently repaired the missionaries' bikes at no charge. One evening, he rode through heavy rain to the missionaries' residence to ask if they would accompany him to give his wife a sick blessing.
"Die Internetseite teilt Ihnen mit, dass Ihr Passwort gendert worden ist.
"	The website informs you that your password has been changed.	The website notifies you that your password has been altered.
"Meine Augen haben den Erlser gesehen,
"	My eyes have seen the Savior,	My eyes have seen the Redeemer.
"Wir sollen den Menschen vergeben, die uns verletzen oder beleidigen. Wenn wir ihnen vergeben, wird der himmlische Vater uns vergeben.
"	We should forgive the people who hurt or offend us. If we forgive them, the Heavenly Father will forgive us.	We ought to forgive those who harm or offend us. If we extend our forgiveness to them, our Heavenly Father will also forgive us.
"Alles Weitere, was Sie uns schreiben mchten
"	Everything else you would like to write to us	If there is anything further you would like to communicate to us
"Memo of Suggestions, Seite 1ff., Church Union Board Executive Committee Minutes, Historisches Archiv der Kirche
"	Memo of Suggestions, pages 1ff., Church Union Board Executive Committee Minutes, Historical Archive of the Church	Memo of Suggestions, pages 1 and following, Church Union Board Executive Committee Minutes, Historical Archive of the Church
"So fgen Sie Notizen hinzu:
"	Here’s how to add notes:	Here’s how to add notes:
"Klicken Sie ausgehend von einem Textfenster auf das Men Buch und anschlieend auf WortWrter suchen.
"	Click on the Menu Book from a text window and then on Search for Words.	Click on 'Menu Book' in the text window, and then click on 'Search for Words.'
"Weitere Einzelheiten geben Sie bitte auf Seite 2 dieses Formulars an.
"	Please provide further details on page 2 of this form.	Please provide further details on page 2 of this form.
"Das Lied darf fr den gelegentlichen, nichtkommerziellen Gebrauch in Familie und Kirche vervielfltigt werden.
"	The song may be reproduced for occasional, non-commercial use in family and church.	The song may be reproduced for occasional, non-commercial use in family and church contexts.
"Auf dieser Welt ist nichts so persnlich, so frdernd oder so lebensverndernd wie der Einfluss einer rechtschaffenen Frau.
"	In this world, nothing is as personal, as supportive, or as life-changing as the influence of a righteous woman.	In this world, nothing is more personal, nurturing, or life-altering than the influence of a virtuous woman.
"Die Startseite des FamilySearch-Indexierungsprogramms
"	The homepage of the FamilySearch indexing program	The homepage of the FamilySearch indexing program
"Die Liebe zu Gott und der aufrichtige Wunsch, seine Gebote zu halten, bewegen uns zur Umkehr.
"	The love for God and the sincere desire to keep His commandments move us to repentance.	The love for God and a sincere wish to keep His commandments move us to repentance.
"Das Programm wurde seit Minuten nicht genutzt. Mchten Sie angemeldet bleiben?
"	The program has not been used for minutes. Would you like to stay logged in?	The program has not been used for several minutes. Would you like to stay logged in?
"Wenn man sich bekehrt hat, freut man sich auf den Sonntag, weil es der Sabbat ist. Am Sonntag denkt man nicht: O nein, heute kann ich nicht mit meinen Freunden abhngen oder ins Kino gehen, sondern man denkt: Ich freue mich, dass ich in die Kirche gehen und mich mit Geistigem befassen kann und dass ich Zeit mit meiner Familie verbringen kann.
"	When one has converted, one looks forward to Sunday because it is the Sabbath. On Sunday, one does not think: Oh no, today I can't hang out with my friends or go to the movies, but rather one thinks: I am happy that I can go to church and engage with the spiritual and that I can spend time with my family.	Once a person has converted, they look forward to Sunday with joy, as it marks the Sabbath. On this day, they do not think, 'Oh no, I can't spend time with my friends or go to the movies today;' rather, they think, 'I am thankful that I can attend church, engage in spiritual pursuits, and enjoy time with my family.'
"Junge Erwachsene auf der ganzen Welt gehorchen diesem Aufruf zum Dienen, aber es erfordert Glauben und Mut, dem Propheten zu folgen.
"	Young adults around the world heed this call to serve, but it requires faith and courage to follow the prophet.	Young adults around the globe are answering this call to serve, but it requires both faith and courage to follow the prophet.
"Es kam oft vor, dass ich zu ein, zwei Anzgen, die ein Kunde ausgesucht hatte, eine Auswahl von Hemden und Krawatten zusammenstellte, die ich fr passend hielt. Doch nachdem ich die Hemden und Krawatten vom einen in den anderen Bereich gebracht und neben die Anzge gelegt hatte, war das Ergebnis berraschend: Die Farben nderten sich in dem neuen Licht und passten nun gar nicht zusammen.
"	It often happened that I put together a selection of shirts and ties that I thought were suitable for one or two suits that a customer had chosen. However, after I brought the shirts and ties from one area to another and placed them next to the suits, the result was surprising: the colors changed in the new light and did not match at all.	I frequently found myself putting together a selection of shirts and ties that I thought would go well with one or two suits chosen by a client. However, after moving the shirts and ties to a different area and laying them next to the suits, the result was unexpected: the colors changed under the new lighting and ended up clashing completely.
"Besondere Einladung zur bertragung der CES-Fireside fr Junge Erwachsene im Mai 2009
"	Special invitation to the broadcast of the CES Fireside for Young Adults in May 2009	Special invitation to the CES Fireside for Young Adults in May 2009
"Betont, wie wichtig wohlwollendes Verhalten ist.
"	Emphasizes how important benevolent behavior is.	It emphasizes the importance of kind and considerate behavior.
"Prsident Joseph Fielding Smith hat gesagt: Man kann zwar behaupten, dass wir nur eine Handvoll sind im Vergleich zur Weltbevlkerung, man kann uns aber auch mit dem Sauerteig vergleichen, der letztlich die ganze Welt durchdringen sollte und von dem der Heiland gesprochen hatte. Wir knnen und werden zu gegebener Zeit gewiss Einfluss auf die ganze Menschheit nehmen. Man wird wissen, wer wir sind und warum es uns gibt. Es mag hoffnungslos erscheinen, es ist eine monumentale Aufgabe, aber es ist nicht nur mglich, sondern auch gewiss, dass wir den Kampf gegen den Satan gewinnen werden.
"	President Joseph Fielding Smith said: One might claim that we are just a handful compared to the world population, but we can also be compared to the leaven that should ultimately permeate the whole world, of which the Savior spoke. We can and will certainly have an influence on all mankind in due time. People will know who we are and why we exist. It may seem hopeless, it is a monumental task, but it is not only possible, but also certain that we will win the battle against Satan.	President Joseph Fielding Smith said: While one might assert that we are merely a small handful in comparison to the world's population, we can also be likened to the leaven that is destined to ultimately permeate the entire world, as spoken of by the Savior. In due time, we can and undoubtedly shall have influence over all of humanity. People will understand who we are and the purpose of our existence. It may seem hopeless and represents a monumental task; however, it is not only possible but also certain that we will triumph in our battle against Satan.
"Vom 11. bis 26. November 2011 finden die Tage der offenen Tr statt auer sonntags.
"	From November 11 to 26, 2011, the open days will take place except on Sundays.	The Open Days will take place from November 11 to 26, 2011, except on Sundays.
"Auch Alessia war berzeugt, dass ihre Beziehung zu einem jungen Mann genau das war, was sie sein sollte. Unsere Geschichte war so wunderschn, dass wir meinten, unsere Beziehung wrde nie enden, auch wenn wir die blichen Schwierigkeiten hatten, die jedes Paar erlebt, erzhlt sie.
"	Alessia was also convinced that her relationship with a young man was exactly what it should be. Our story was so beautiful that we thought our relationship would never end, even though we faced the usual difficulties that every couple experiences, she recounts.	Alessia was likewise convinced that her relationship with a young man was precisely what it was meant to be. Our story was so beautiful that we thought our relationship would never end, even though we encountered the usual difficulties that every couple faces, as she recounts.
"Brder und Schwestern, ist Ihnen klar, was wir haben? Erkennen Sie, welche Stelle wir in diesem groen Drama der Menschheitsgeschichte einnehmen?
"	Brothers and sisters, are you aware of what we have? Do you recognize what place we occupy in this great drama of human history?	Brothers and sisters, are you aware of what we have? Do you recognize the place we hold in this grand drama of human history?
"Was haben die Propheten und Apostel darber gesagt?
"	What have the prophets and apostles said about it?	What have the prophets and apostles said about this?
"Sie knnen die heiligen Handlungen des Tempels vollziehen lassen, wenn jemand seit zehn Jahren als tot gilt. Diese Regel gilt zum einen fr im Krieg vermisste, auf See verschollene oder fr tot erklrte Personen sowie zum anderen fr Personen, die unter Umstnden verschwunden sind, bei denen der Tod offensichtlich ist, jedoch keine Leiche gefunden wurde.
"	You can have the sacred rites of the temple performed if someone has been considered dead for ten years. This rule applies, on the one hand, to those missing in war, those lost at sea, or persons declared dead, and on the other hand to individuals who have gone missing under circumstances where death is evident, but no body has been found.	Sacred temple rites may be performed for individuals who have been declared dead for ten years. This rule applies, on one hand, to those missing in action during wartime, to individuals lost at sea, or to persons who have been officially declared deceased; and on the other hand, to those who have vanished under circumstances where death is evident, although no body has been recovered.
"Wenn ein Einreicher Kontaktinformationen hinterlegt hat, knnen Sie diese nutzen, um mit ihm Kontakt aufzunehmen.
"	If a submitter has provided contact information, you can use it to get in touch with them.	If a submitter has provided contact information, you may use it to get in touch with them.
"Achten Sie darauf, dass eine entspannte Atmosphre herrscht und die Jugendlichen sich miteinander wohl fhlen.
"	Make sure that a relaxed atmosphere prevails and the young people feel comfortable with each other.	Make sure that a relaxed atmosphere is maintained so that the young people feel comfortable and at ease with each other.
"Dallin H. Oaks bert sich mit Barbara W. Winder zu Themen, die die Frauen in der Kirche betreffen
"	Dallin H. Oaks is discussing with Barbara W. Winder topics that concern women in the church.	Dallin H. Oaks is engaged in discussions with Barbara W. Winder about issues concerning women in the church.
"Bitten Sie die Schler, in diesen Versen Wrter oder Ausdrcke zu finden, die aussagen, was das geistige Fortkommen der Menschen behindert hat. Schreiben Sie die Antworten an die Tafel. Veranschaulichen Sie ihnen, dass diese Menschen zwar einmal geglaubt hatten, dass ihre schlechten Handlungen aber dazu fhrten, dass sie ihr Zeugnis vergaen und zur Schlechtigkeit zurckkehrten.
"	Ask the students to find words or phrases in these verses that express what has hindered the spiritual progress of people. Write the answers on the board. Illustrate to them that although these people once believed, their bad actions led them to forget their testimony and return to wickedness.	Ask the students to find words or expressions in these verses that describe what has hindered the spiritual progress of humanity. Write their responses on the board. Demonstrate to them that although these individuals once had faith, their wrongdoings led them to forget their testimony and return to wickedness.
"Folglich hilft uns der im Shnopfer enthaltene Aspekt, dass wir befhigt werden und Kraft bekommen, auf eine Weise zu sehen, zu handeln und gut zu werden, die wir mit unseren begrenzten irdischen Fhigkeiten nie erfassen oder erreichen knnten. Ich bezeuge, dass im Shnopfer des Erlsers wirklich eine Macht steckt, die uns Fhigkeiten verleiht. Ohne diese Macht aus dem Shnopfer, die mir Kraft gibt, knnte ich heute Morgen nicht vor Ihnen stehen.
"	Consequently, the aspect contained in the Atonement helps us to be empowered and gain strength to see, act, and become good in a way that we could never grasp or achieve with our limited earthly abilities. I bear witness that there is truly a power in the Atonement of the Savior that bestows us with abilities. Without this power from the Atonement that gives me strength, I would not be able to stand before you this morning.	Consequently, the aspect contained in the Atonement empowers us, enabling us to see, act, and grow in ways that we could never grasp or achieve with our limited earthly abilities. I bear witness that within the Atonement of the Savior truly lies a power that bestows upon us capabilities. Without this power originating from the Atonement, which strengthens me, I would not be able to stand before you this morning.
"Geben Sie bitte eine gltige E-Mail-Adresse ein.
"	Please enter a valid email address.	Please enter a valid email address.
"Die Koordinatoren und leitenden Betreuer treffen sich, um die Versammlung fr Organisatorisches zu besprechen.
"	The coordinators and lead supervisors meet to discuss the meeting for organizational matters.	The coordinators and lead supervisors meet to discuss the organizational aspects of the meeting.
"Whrend meiner Kindheit und frhen Jugend wurde ich hin- und hergereicht. Ich erlebte nie, wie es war, eine Familie zu haben, und bekam auch niemals ein Geschenk, nicht einmal zum Geburtstag oder zu Weihnachten.
"	During my childhood and early adolescence, I was passed around. I never experienced what it was like to have a family, and I never received a gift, not even for my birthday or Christmas.	During my childhood and early adolescence, I was passed around from place to place. I never really understood what it meant to have a family, and I never received a gift, not even for my birthday or Christmas.
"Asenaca hat, obwohl sie erst 19 ist, in ihrem Leben schon viel Kummer erlebt. Dennoch strahlt sie Freude aus. Sie freut sich an der Gewissheit, dass sie zu einer ewigen Familie gehrt, denn ihre Familie wurde 2001 im Suva-Tempel gesiegelt, und sie freut sich an der Gewissheit, dass der himmlische Vater sie kennt und liebt.
"	Asenaca has experienced a lot of sorrow in her life, although she is only 19. Nevertheless, she radiates joy. She delights in the assurance that she belongs to an eternal family, for her family was sealed in the Suva Temple in 2001, and she rejoices in the certainty that Heavenly Father knows and loves her.	At just 19 years old, Asenaca has experienced a significant amount of sorrow in her life. Yet, she radiates joy. She finds solace in the knowledge that she belongs to an eternal family, as her family was sealed in the Suva Temple in 2001. Moreover, she takes great comfort in the assurance that Heavenly Father knows and loves her.
"Bei dem Tafelbild, was wir tun mssen, um ewiges Leben zu erlangen, sind unter anderem diese Antworten mglich:
"	In the tableau, what we must do to attain eternal life, among other things, these answers are possible:	In the tableau illustrating what we must do to attain eternal life, the following responses can be provided:
"Wir weisen warnend darauf hin, dass jemand, der die Bndnisse der Keuschheit verletzt, der seinen Ehepartner oder seine Nachkommen misshandelt oder missbraucht oder seinen familiren Verpflichtungen nicht nachkommt, eines Tages vor Gott Rechenschaft ablegen muss. Weiter warnen wir davor, dass der Zerfall der Familie ber die Menschen, Lnder und Vlker das Unheil bringen wird, das in alter und neuer Zeit von den Propheten vorhergesagt worden ist.
"	We warn that anyone who violates the bonds of chastity, who mistreats or abuses their spouse or offspring, or who fails to fulfill their family obligations, will one day have to account before God. Furthermore, we warn that the breakdown of the family will bring calamity upon people, countries, and nations, as foretold by the prophets in ancient and modern times.	We would like to issue a warning that anyone who violates the bonds of chastity, mistreats or abuses their spouse or children, or neglects their familial obligations will one day have to account to God. Additionally, we warn that the breakdown of the family will bring forth the disasters predicted by prophets throughout both ancient and modern times, affecting individuals, nations, and peoples.
"Wir wollen zumindest einen freundlichen, von christlicher Nchstenliebe geprgten Eindruck hinterlassen.
"	We want to leave at least a friendly impression shaped by Christian charity.	We aim to leave at least a friendly impression characterized by Christian love for one's neighbor.
"Das System bertrgt die Angaben nun in das Feld Speicherort und Dateiname.
"	The system now transfers the information to the field Location and Filename.	The system now uploads the information into the 'Storage Location' and 'File Name' fields.
"Teil eines Lehrpaares kann nicht zur gleichen Zeit einen anderen Kurs unterrichten!
"	Part of a teaching pair cannot teach another course at the same time!	A member of a teaching pair cannot teach a different course at the same time!
